mode,run_id,num_users,user_id,compression_level,total_frames,on_time_frames,avg_delay_ms,delay_reliability,user_satisfied,avg_mse,avg_cqi
random,16,9,3,10,1074,1028,2.69099,0.9571689999999999,0,526.181,14.6927
random,16,9,4,35,1074,683,10.2892,0.6359400000000001,0,455.613,13.7878
random,16,9,5,75,1074,583,5.23735,0.542831,0,478.619,14.6744
random,16,9,6,65,1074,716,5.42313,0.666667,0,368.834,14.1671
random,16,9,7,60,1074,755,4.82334,0.70298,0,340.909,14.7191
random,16,9,8,50,1074,713,7.65021,0.6638729999999999,0,393.445,14.0124
random,17,10,0,40,1074,881,5.82703,0.820298,0,278.951,14.2084
random,17,10,1,15,1074,899,3.13236,0.837058,0,463.786,13.791
random,17,10,2,75,1074,540,6.98105,0.502793,0,517.279,14.0209
random,17,10,3,5,1074,1046,2.5327,0.9739289999999999,0,822.711,14.5086
random,17,10,4,25,1074,948,4.83336,0.882682,0,310.009,14.3321
random,17,10,5,50,1074,650,7.21599,0.605214,0,447.398,13.9425
random,17,10,6,5,1074,1053,2.49483,0.9804470000000001,0,821.311,14.7556
random,17,10,7,5,1074,1062,2.51003,0.988827,0,818.16,14.8777
random,17,10,8,80,1074,490,7.21506,0.45623800000000003,0,559.669,14.0472
random,17,10,9,65,1074,817,4.40252,0.760708,0,280.077,14.946
random,18,10,0,50,1074,702,5.63754,0.6536310000000001,0,402.601,14.2528
random,18,10,1,50,1074,517,8.64446,0.481378,0,559.562,13.8068
random,18,10,2,25,1074,817,6.704,0.760708,0,405.675,13.9753
random,18,10,3,45,1074,840,4.98888,0.782123,0,297.293,14.5458
random,18,10,4,40,1074,797,5.42871,0.742086,0,347.668,14.3505
random,18,10,5,80,1074,298,7.57924,0.277467,0,731.795,13.9471
random,18,10,6,75,1074,529,5.52835,0.49255099999999996,0,526.796,14.7741
random,18,10,7,55,1074,714,4.68089,0.6648040000000001,0,383.468,14.8811
random,18,10,8,10,1074,965,2.98197,0.89851,0,556.132,13.997
random,18,10,9,15,1074,1054,2.79731,0.981378,0,373.094,14.9954
random,11,7,0,35,1074,875,7.95874,0.8147110000000001,0,303.805,14.379
random,11,7,1,75,1074,633,5.74237,0.5893849999999999,0,433.814,14.1936
random,11,7,2,80,1074,546,6.16465,0.50838,0,508.914,14.0702
random,11,7,3,60,1074,740,5.70311,0.6890130000000001,0,354.023,14.3122
random,11,7,4,75,1074,440,8.95561,0.409683,0,606.622,13.8101
random,11,7,5,5,1074,963,2.77294,0.896648,0,833.813,13.8916
random,11,7,6,10,1074,1058,2.51857,0.9851019999999999,0,512.971,14.0787
random,8,5,0,80,1074,649,5.63427,0.604283,0,416.33,14.4818
random,8,5,1,45,1074,776,8.33553,0.722533,0,350.952,13.9719
random,8,5,2,60,1074,647,6.49719,0.602421,0,435.1,13.8575
random,8,5,3,40,1074,936,4.7728,0.8715080000000001,0,233.854,14.5278
random,8,5,4,80,1074,409,11.8732,0.38081899999999996,0,632.506,13.9461
random,15,9,0,10,1074,1052,2.63392,0.9795159999999999,0,515.703,14.9078
random,15,9,1,60,1074,548,6.78396,0.510242,0,521.426,13.9867
random,15,9,2,5,1074,987,2.80638,0.918994,0,828.952,13.991
random,15,9,3,40,1074,867,5.02292,0.807263,0,290.289,14.7277
random,15,9,4,55,1074,540,7.96156,0.502793,0,534.041,13.7075
random,15,9,5,80,1074,393,6.10841,0.36592199999999997,0,646.624,14.5482
random,15,9,6,50,1074,717,5.64849,0.667598,0,389.747,14.1072
random,15,9,7,70,1074,658,4.96951,0.612663,0,415.591,14.8548
random,15,9,8,65,1074,574,7.47592,0.534451,0,494.38,13.9815
ml,25,5,0,55,1074,956,4.81975,0.8901300000000001,0,174.589,14.4854
ml,25,5,1,20,1074,860,3.87214,0.800745,0,420.293,13.7463
ml,25,5,2,20,1074,879,4.47856,0.8184359999999999,0,407.481,13.8291
ml,25,5,3,55,1074,989,4.11997,0.920857,0,146.658,14.6213
ml,25,5,4,25,1074,868,10.4513,0.808194,0,368.34,13.9941
ml,28,6,0,45,1074,938,5.19234,0.8733710000000001,0,214.671,14.3372
ml,28,6,1,15,1074,911,2.90284,0.848231,0,457.008,13.9599
ml,28,6,2,25,1074,865,9.01599,0.8054000000000001,0,370.728,14.0298
ml,28,6,3,25,1074,946,5.47783,0.880819,0,312.459,14.0263
ml,28,6,4,25,1074,856,6.48717,0.79702,0,377.008,14.0085
ml,28,6,5,25,1074,820,8.08541,0.763501,0,402.781,13.8825
ml,27,6,0,45,1074,890,8.55261,0.828678,0,255.129,14.324
ml,27,6,1,25,1074,793,9.79405,0.738361,0,423.094,13.8384
ml,27,6,2,25,1074,890,7.34255,0.828678,0,351.924,14.0366
ml,27,6,3,25,1074,848,10.3128,0.789572,0,384.94,14.0585
ml,27,6,4,25,1074,890,4.71383,0.828678,0,352.073,14.0654
ml,27,6,5,25,1074,853,6.47617,0.794227,0,378.463,13.9307
ml,26,5,0,55,1074,937,5.37204,0.872439,0,190.987,14.3775
ml,26,5,1,20,1074,907,3.37258,0.844507,0,389.202,13.939
ml,26,5,2,15,1074,929,2.80871,0.864991,0,446.949,13.9537
ml,26,5,3,55,1074,1009,3.93889,0.9394790000000001,0,129.436,14.6985
ml,26,5,4,20,1074,837,6.53216,0.7793300000000001,0,434.989,13.857
ml,32,8,0,35,1074,1014,3.93003,0.9441339999999999,0,192.651,14.4038
ml,32,8,1,15,1074,943,2.90191,0.878026,0,439.925,14.0
ml,32,8,2,35,1074,962,4.92354,0.8957170000000001,0,234.711,14.3109
ml,32,8,3,35,1074,883,7.0414,0.8221599999999999,0,296.887,14.2606
ml,32,8,4,25,1074,880,6.20131,0.8193670000000001,0,359.714,13.96
ml,32,8,5,25,1074,828,8.74387,0.77095,0,397.058,13.8138
ml,32,8,6,40,1074,1061,3.24343,0.9878959999999999,0,131.57,14.996
ml,32,8,7,25,1074,864,9.53383,0.804469,0,372.756,14.0215
ml,30,7,0,45,1074,886,6.53922,0.824953,0,258.684,14.2244
ml,30,7,1,45,1074,870,5.72111,0.810056,0,272.22,14.2855
ml,30,7,2,25,1074,851,6.00251,0.7923650000000001,0,381.557,13.9353
ml,30,7,3,45,1074,907,6.29937,0.844507,0,241.289,14.3708
ml,30,7,4,25,1074,866,7.88206,0.806331,0,369.644,14.0029
ml,30,7,5,15,1074,946,2.87489,0.880819,0,437.978,13.9818
ml,30,7,6,25,1074,958,6.33241,0.8919929999999999,0,303.562,13.9633
ml,34,9,0,40,1074,1028,3.33717,0.9571689999999999,0,158.34,14.9069
ml,34,9,1,25,1074,858,7.40821,0.798883,0,375.626,13.8715
ml,34,9,2,20,1074,927,3.03637,0.863128,0,375.768,13.9888
ml,34,9,3,40,1074,993,3.91013,0.924581,0,187.576,14.6697
ml,34,9,4,20,1074,834,5.97824,0.776536,0,438.129,13.6256
ml,34,9,5,40,1074,920,4.81394,0.856611,0,247.446,14.5583
ml,34,9,6,25,1074,1010,4.24882,0.94041,0,264.845,14.0711
ml,34,9,7,40,1074,1045,3.32428,0.972998,0,144.621,14.79
ml,34,9,8,20,1074,957,2.86279,0.891061,0,353.81,14.0209
ml,31,8,0,35,1074,953,5.77852,0.887337,0,241.037,14.399
ml,31,8,1,25,1074,900,5.82101,0.837989,0,344.435,14.0235
ml,31,8,2,35,1074,973,4.20716,0.905959,0,226.061,14.2577
ml,31,8,3,25,1074,961,4.76358,0.894786,0,301.407,14.1983
ml,31,8,4,20,1074,966,2.81838,0.899441,0,348.821,14.0045
ml,31,8,5,25,1074,839,9.00226,0.7811920000000001,0,388.885,13.8683
ml,31,8,6,40,1074,1054,3.22667,0.981378,0,137.256,14.9678
ml,31,8,7,25,1074,921,7.259,0.857542,0,331.051,14.0287
ml,33,9,0,40,1074,1028,3.36807,0.9571689999999999,0,158.283,14.8913
ml,33,9,1,15,1074,944,2.89772,0.8789570000000001,0,437.997,14.0118
ml,33,9,2,25,1074,850,8.27005,0.791434,0,381.209,13.9851
ml,33,9,3,40,1074,970,4.89997,0.9031659999999999,0,205.95,14.6856
ml,33,9,4,25,1074,855,8.01971,0.796089,0,377.012,13.9474
ml,33,9,5,40,1074,894,5.44946,0.832402,0,268.284,14.4647
