mode,run_id,num_users,user_id,compression_level,fps,size_mean_kb,size_std_kb,total_frames,on_time_frames,avg_delay_ms,delay_reliability,user_satisfied,avg_mse,avg_cqi
random,2,2,0,70,120,65.0,34.8,2400,1067,3.40646,0.444583,0,575.707,14.9489
random,2,2,1,20,60,95.0,50.9,1200,906,4.73875,0.755,0,386.77,14.4015
random,1,2,0,10,60,65.0,34.8,1200,1049,2.36566,0.874167,0,564.567,14.5096
random,1,2,1,50,90,95.0,50.9,1800,746,5.27894,0.41444400000000003,0,609.873,13.9549
ml,28,2,0,60,90,95.0,50.9,1800,1032,4.11501,0.573333,0,450.943,14.7423
ml,28,2,1,15,60,45.0,24.1,1200,953,2.65936,0.7941670000000001,0,616.299,14.2512
random,3,2,0,45,90,95.0,50.9,1800,1020,3.7729,0.566667,0,472.34,14.8335
random,3,2,1,70,120,80.0,42.9,2400,285,6.19426,0.11875,0,885.893,13.8985
random,13,6,0,15,60,80.0,42.9,1200,1013,2.61434,0.8441670000000001,0,402.536,14.4382
random,13,6,1,35,72,45.0,24.1,1440,832,8.34871,0.577778,0,542.421,13.9812
random,13,6,2,25,72,80.0,42.9,1440,881,5.94281,0.611806,0,495.606,14.0687
random,13,6,3,50,90,95.0,50.9,1800,828,5.10062,0.46,0,566.745,14.1678
random,13,6,4,15,60,120.0,64.3,1200,898,4.65566,0.7483329999999999,0,396.871,14.1357
random,13,6,5,30,72,95.0,50.9,1440,812,6.22693,0.563889,0,503.792,13.894
random,8,4,0,80,120,95.0,50.9,2400,269,6.0537,0.11208299999999999,0,890.51,14.909
random,8,4,1,45,90,80.0,42.9,1800,567,8.03386,0.315,0,710.715,13.8842
random,8,4,2,60,90,45.0,24.1,1800,870,5.10434,0.483333,0,560.319,13.9598
random,8,4,3,40,72,120.0,64.3,1440,619,6.08721,0.429861,0,597.644,14.1136
ml,33,3,0,70,120,45.0,24.1,2400,1051,3.18206,0.437917,0,590.975,14.8892
ml,33,3,1,10,60,120.0,64.3,1200,971,2.6426,0.8091670000000001,0,409.955,14.0031
ml,33,3,2,35,72,80.0,42.9,1440,847,7.11535,0.588194,0,481.125,13.9851
ml,30,2,0,80,120,45.0,24.1,2400,1049,3.85826,0.437083,0,584.347,14.9469
ml,30,2,1,65,120,120.0,64.3,2400,351,5.96592,0.14625,0,858.098,14.1256
random,4,3,0,15,60,120.0,64.3,1200,1011,7.75906,0.8425,0,321.6,14.5719
random,4,3,1,65,120,120.0,64.3,2400,43,6.21964,0.0179167,0,982.577,13.8345
random,4,3,2,10,60,65.0,34.8,1200,987,2.58944,0.8225,0,589.902,14.0066
random,9,4,0,40,72,120.0,64.3,1440,950,4.10764,0.659722,0,383.175,14.9251
