mode,run_id,num_users,user_id,compression_level,fps,size_mean_kb,size_std_kb,total_frames,on_time_frames,avg_delay_ms,delay_reliability,user_satisfied,avg_mse,avg_cqi
ml,10,2,0,15,72,80.0,42.9,1440,1063,2.32062,0.738194,0,477.012,14.6634
ml,10,2,1,25,60,65.0,34.8,1200,913,5.36744,0.760833,0,403.83,14.3651
random,1,2,0,10,60,65.0,34.8,1200,1049,2.36566,0.874167,0,564.567,14.5096
random,1,2,1,50,90,95.0,50.9,1800,746,5.27894,0.41444400000000003,0,609.873,13.9549
random,2,3,0,70,120,95.0,50.9,2400,1013,4.42579,0.422083,0,591.113,14.9667
random,2,3,1,20,60,65.0,34.8,1200,966,2.69986,0.805,0,415.05,14.0055
random,2,3,2,30,72,80.0,42.9,1440,899,5.49173,0.624306,0,464.996,14.0085
ml-dynamic,19,2,0,55,90,95.0,50.9,1800,1016,4.36914,0.5644440000000001,0,463.595,14.8505
ml-dynamic,19,2,1,60,90,45.0,24.1,1800,830,5.43539,0.461111,0,580.378,14.065
random,4,5,0,15,60,120.0,64.3,1200,989,4.25871,0.8241670000000001,0,336.086,14.3702
random,4,5,1,65,120,120.0,64.3,2400,104,6.91138,0.0433333,0,958.022,13.7924
random,4,5,2,10,60,45.0,24.1,1200,942,2.78543,0.785,0,782.439,13.8726
random,4,5,3,40,72,45.0,24.1,1440,1020,3.3662,0.708333,0,414.215,14.6611
random,4,5,4,25,72,45.0,24.1,1440,648,24.3521,0.45,0,688.065,13.5546
ml-dynamic,21,4,0,55,72,65.0,34.8,1440,1023,4.12497,0.7104170000000001,0,341.049,14.6295
ml-dynamic,21,4,1,30,72,45.0,24.1,1440,882,4.49725,0.6125,0,541.818,13.8043
ml-dynamic,21,4,2,45,90,65.0,34.8,1800,821,5.91582,0.456111,0,589.67,13.8897
ml-dynamic,21,4,3,40,60,95.0,50.9,1200,932,5.50864,0.7766670000000001,0,287.302,14.1062
ml,12,4,0,25,60,80.0,42.9,1200,991,4.8135,0.8258329999999999,0,319.959,14.4276
ml,12,4,1,10,60,95.0,50.9,1200,917,3.19588,0.764167,0,497.32,13.8397
ml,12,4,2,30,72,120.0,64.3,1440,839,6.12977,0.582639,0,472.772,13.9778
ml,12,4,3,20,72,80.0,42.9,1440,989,5.36365,0.686806,0,465.622,14.0537
ml-dynamic,23,6,0,50,90,45.0,24.1,1800,1035,3.42515,0.575,0,495.816,14.6123
ml-dynamic,23,6,1,5,60,95.0,50.9,1200,968,2.62072,0.806667,0,639.451,13.911
ml-dynamic,23,6,2,20,72,65.0,34.8,1440,950,3.33764,0.659722,0,520.507,14.0189
ml-dynamic,23,6,3,25,72,80.0,42.9,1440,906,6.40947,0.629167,0,481.489,14.1574
ml-dynamic,23,6,4,10,60,120.0,64.3,1200,920,2.85656,0.7666670000000001,0,441.553,14.1086
