frame,components,mse,size_bytes,error_at_k80,error_ratio
0,80,1124.2638640137586,12720,1124.2638640137586,2.145209575678802
0,75,1125.4860379356257,11935,1124.2638640137586,2.145209575678802
0,70,1129.1064882296491,11149,1124.2638640137586,2.145209575678802
0,65,1130.5753746571938,10364,1124.2638640137586,2.145209575678802
0,60,1138.1077435815237,9578,1124.2638640137586,2.145209575678802
0,55,1145.8178431516876,8793,1124.2638640137586,2.145209575678802
0,50,1147.5395999074808,8007,1124.2638640137586,2.145209575678802
0,45,1158.0473152636794,7222,1124.2638640137586,2.145209575678802
0,40,1167.7585473856884,6436,1124.2638640137586,2.145209575678802
0,35,1180.952984717873,5651,1124.2638640137586,2.145209575678802
0,30,1226.558023040555,4865,1124.2638640137586,2.145209575678802
0,25,1328.825692042954,4080,1124.2638640137586,2.145209575678802
0,20,1607.1104771778798,3294,1124.2638640137586,2.145209575678802
0,15,2063.835014523736,2509,1124.2638640137586,2.145209575678802
0,10,2247.0095702311914,1724,1124.2638640137586,2.145209575678802
0,5,2411.781606671965,938,1124.2638640137586,2.145209575678802
0,1,4738.628734682718,310,1124.2638640137586,2.145209575678802
1,80,1061.100488322931,12720,1061.100488322931,2.2801487265561886
1,75,1062.1559137831837,11935,1061.100488322931,2.2801487265561886
1,70,1065.5536744246601,11149,1061.100488322931,2.2801487265561886
1,65,1066.7611702736579,10364,1061.100488322931,2.2801487265561886
1,60,1074.201364217753,9578,1061.100488322931,2.2801487265561886
1,55,1082.4517085993343,8793,1061.100488322931,2.2801487265561886
1,50,1084.7714893962836,8007,1061.100488322931,2.2801487265561886
1,45,1095.4932258288202,7222,1061.100488322931,2.2801487265561886
1,40,1106.9489665125816,6436,1061.100488322931,2.2801487265561886
1,35,1124.4003452205375,5651,1061.100488322931,2.2801487265561886
1,30,1177.1075285604782,4865,1061.100488322931,2.2801487265561886
1,25,1295.0302177911842,4080,1061.100488322931,2.2801487265561886
1,20,1581.5299610556442,3294,1061.100488322931,2.2801487265561886
1,15,2061.770145250138,2509,1061.100488322931,2.2801487265561886
1,10,2255.7630576886986,1724,1061.100488322931,2.2801487265561886
1,5,2419.466927197681,938,1061.100488322931,2.2801487265561886
1,1,4783.01986764932,310,1061.100488322931,2.2801487265561886
2,80,989.6216373193663,12720,989.6216373193663,2.450896476038435
2,75,990.5036625100009,11935,989.6216373193663,2.450896476038435
2,70,993.5700165723916,11149,989.6216373193663,2.450896476038435
2,65,994.6416369407251,10364,989.6216373193663,2.450896476038435
2,60,1002.2981738993318,9578,989.6216373193663,2.450896476038435
2,55,1011.4018847613593,8793,989.6216373193663,2.450896476038435
2,50,1016.3694670889548,8007,989.6216373193663,2.450896476038435
2,45,1026.9416585429528,7222,989.6216373193663,2.450896476038435
2,40,1040.3441181199128,6436,989.6216373193663,2.450896476038435
2,35,1063.6519270652032,5651,989.6216373193663,2.450896476038435
2,30,1124.053917234232,4865,989.6216373193663,2.450896476038435
2,25,1260.43526068754,4080,989.6216373193663,2.450896476038435
2,20,1555.158020062405,3294,989.6216373193663,2.450896476038435
2,15,2056.480565676173,2509,989.6216373193663,2.450896476038435
2,10,2262.5255227414027,1724,989.6216373193663,2.450896476038435
2,5,2425.4601835174212,938,989.6216373193663,2.450896476038435
2,1,4820.689582164709,310,989.6216373193663,2.450896476038435
3,80,903.3712832259092,12720,903.3712832259092,2.697785438491063
3,75,904.116458800056,11935,903.3712832259092,2.697785438491063
3,70,906.7912164072839,11149,903.3712832259092,2.697785438491063
3,65,907.921377269579,10364,903.3712832259092,2.697785438491063
3,60,916.9122698069606,9578,903.3712832259092,2.697785438491063
3,55,927.2730283579078,8793,903.3712832259092,2.697785438491063
3,50,937.6421447898599,8007,903.3712832259092,2.697785438491063
3,45,948.1016197192597,7222,903.3712832259092,2.697785438491063
