frame,components,mse,size_bytes,frame_complexity,raw_size_bytes,pict_type,explained_variance
0,400,146.25157175591778,153836,313269,150528,I,0.9997873461174744
0,375,146.51394354572008,144245,313269,150528,I,0.9996299711162994
0,350,147.06605395824042,134654,313269,150528,I,0.9994177684912686
0,325,147.31407842847148,125063,313269,150528,I,0.9991354887041023
0,300,147.56444082720535,115472,313269,150528,I,0.998747431415342
0,275,147.79005007619313,105881,313269,150528,I,0.9982150081534499
0,250,148.14541288148538,96290,313269,150528,I,0.997513620981053
0,225,148.58792796481578,86699,313269,150528,I,0.9965949592067644
0,200,149.5367055089454,77108,313269,150528,I,0.9953828155814001
0,175,150.11981076589913,67516,313269,150528,I,0.9938230293177978
0,150,150.9859222616945,57925,313269,150528,I,0.9916925629693228
0,125,154.99332154957008,48334,313269,150528,I,0.9885770455095082
0,100,156.20435229693993,38743,313269,150528,I,0.9837324513595834
0,75,169.28721688037857,29152,313269,150528,I,0.9762780279882033
0,50,170.79914834658305,19561,313269,150528,I,0.9631922012259847
0,25,192.01690503284948,9970,313269,150528,I,0.934004985731784
0,0,0.0,150528,313269,150528,I,
1,400,143.09149894989892,153836,349,150528,B,0.9997873461174744
1,375,143.3453500218652,144245,349,150528,B,0.9996299711162994
1,350,143.8911253316372,134654,349,150528,B,0.9994177684912686
1,325,144.12141773745805,125063,349,150528,B,0.9991354887041023
1,300,144.36597164403724,115472,349,150528,B,0.998747431415342
1,275,144.58908406302078,105881,349,150528,B,0.9982150081534499
1,250,144.9347951652754,96290,349,150528,B,0.997513620981053
1,225,145.3474090042035,86699,349,150528,B,0.9965949592067644
1,200,146.24586182404875,77108,349,150528,B,0.9953828155814001
1,175,146.81884343352903,67516,349,150528,B,0.9938230293177978
1,150,147.64152821458094,57925,349,150528,B,0.9916925629693228
1,125,151.6380132348276,48334,349,150528,B,0.9885770455095082
1,100,152.8567652835966,38743,349,150528,B,0.9837324513595834
1,75,166.1414118170892,29152,349,150528,B,0.9762780279882033
1,50,167.64868710180295,19561,349,150528,B,0.9631922012259847
1,25,189.1155231159251,9970,349,150528,B,0.934004985731784
1,0,0.0,150528,349,150528,B,
2,400,141.11035067056991,153836,5861,150528,P,0.9997873461174744
2,375,141.36131931170243,144245,5861,150528,P,0.9996299711162994
2,350,141.91164699771036,134654,5861,150528,P,0.9994177684912686
2,325,142.13268662436323,125063,5861,150528,P,0.9991354887041023
2,300,142.3903425044524,115472,5861,150528,P,0.998747431415342
2,275,142.61606787077935,105881,5861,150528,P,0.9982150081534499
2,250,142.95612707223756,96290,5861,150528,P,0.997513620981053
2,225,143.3550845819672,86699,5861,150528,P,0.9965949592067644
2,200,144.19004986767473,77108,5861,150528,P,0.9953828155814001
2,175,144.75374286603443,67516,5861,150528,P,0.9938230293177978
2,150,145.54956811390792,57925,5861,150528,P,0.9916925629693228
2,125,149.54494720483402,48334,5861,150528,P,0.9885770455095082
2,100,150.78341913495095,38743,5861,150528,P,0.9837324513595834
2,75,164.1320723226033,29152,5861,150528,P,0.9762780279882033
2,50,165.6123756271771,19561,5861,150528,P,0.9631922012259847
2,25,187.38759674860756,9970,5861,150528,P,0.934004985731784
2,0,0.0,150528,5861,150528,P,
3,400,131.2142531981147,153836,11045,150528,P,0.9997873461174744
3,375,131.4399470104371,144245,11045,150528,P,0.9996299711162994
3,350,131.91789127113668,134654,11045,150528,P,0.9994177684912686
3,325,132.1152724997105,125063,11045,150528,P,0.9991354887041023
3,300,132.45243484463808,115472,11045,150528,P,0.998747431415342
3,275,132.66820002339858,105881,11045,150528,P,0.9982150081534499
3,250,132.9355886072393,96290,11045,150528,P,0.997513620981053
3,225,133.25690375995043,86699,11045,150528,P,0.9965949592067644
3,200,133.84107552208457,77108,11045,150528,P,0.9953828155814001
3,175,134.32180745365852,67516,11045,150528,P,0.9938230293177978
3,150,135.02027909806037,57925,11045,150528,P,0.9916925629693228
3,125,139.12875949555928,48334,11045,150528,P,0.9885770455095082
3,100,140.37576105611322,38743,11045,150528,P,0.9837324513595834
3,75,153.88451888206632,29152,11045,150528,P,0.9762780279882033
3,50,155.49090434547563,19561,11045,150528,P,0.9631922012259847
3,25,178.1390186015724,9970,11045,150528,P,0.934004985731784
3,0,0.0,150528,11045,150528,P,
4,400,100.38061706787418,153836,22735,150528,P,0.9997873461174744
4,375,100.5516039770271,144245,22735,150528,P,0.9996299711162994
4,350,100.89142640342013,134654,22735,150528,P,0.9994177684912686
4,325,101.03639723528886,125063,22735,150528,P,0.9991354887041023
4,300,101.39824130033777,115472,22735,150528,P,0.998747431415342
4,275,101.56013425376356,105881,22735,150528,P,0.9982150081534499
4,250,101.73552972325366,96290,22735,150528,P,0.997513620981053
4,225,101.93862869838577,86699,22735,150528,P,0.9965949592067644
4,200,102.23840973636916,77108,22735,150528,P,0.9953828155814001
4,175,102.62000905134843,67516,22735,150528,P,0.9938230293177978
4,150,103.11897939702376,57925,22735,150528,P,0.9916925629693228
4,125,106.904102628529,48334,22735,150528,P,0.9885770455095082
4,100,108.11107126588982,38743,22735,150528,P,0.9837324513595834
4,75,122.22538853283538,29152,22735,150528,P,0.9762780279882033
4,50,123.93641473831194,19561,22735,150528,P,0.9631922012259847
4,25,149.68076533576954,9970,22735,150528,P,0.934004985731784
4,0,0.0,150528,22735,150528,P,
5,400,90.04710772504392,153836,326,150528,B,0.9997873461174744
5,375,90.18626722155936,144245,326,150528,B,0.9996299711162994
5,350,90.46163213061638,134654,326,150528,B,0.9994177684912686
5,325,90.56865270486915,125063,326,150528,B,0.9991354887041023
5,300,90.86886003954443,115472,326,150528,B,0.998747431415342
5,275,90.99393884729078,105881,326,150528,B,0.9982150081534499
5,250,91.14768395738048,96290,326,150528,B,0.997513620981053
5,225,91.32880017539772,86699,326,150528,B,0.9965949592067644
5,200,91.64583288494642,77108,326,150528,B,0.9953828155814001
5,175,91.97951512464141,67516,326,150528,B,0.9938230293177978
5,150,92.39727629840347,57925,326,150528,B,0.9916925629693228
5,125,96.02012410568918,48334,326,150528,B,0.9885770455095082
5,100,97.15638792609833,38743,326,150528,B,0.9837324513595834
5,75,111.423662504269,29152,326,150528,B,0.9762780279882033
5,50,113.23510562410237,19561,326,150528,B,0.9631922012259847
5,25,139.8712152385131,9970,326,150528,B,0.934004985731784
5,0,0.0,150528,326,150528,B,
6,400,83.50406857001421,153836,22663,150528,P,0.9997873461174744
6,375,83.63567349458594,144245,22663,150528,P,0.9996299711162994
6,350,83.86766606649545,134654,22663,150528,P,0.9994177684912686
6,325,83.95892047490292,125063,22663,150528,P,0.9991354887041023
6,300,84.21994632092941,115472,22663,150528,P,0.998747431415342
6,275,84.32702478217756,105881,22663,150528,P,0.9982150081534499
6,250,84.46728623701462,96290,22663,150528,P,0.997513620981053
