frameNumber,repetition,user0_components,user0_effectiveError,user0_delay_ms,user0_cqi,user0_frame_rate,user1_components,user1_effectiveError,user1_delay_ms,user1_cqi,user1_frame_rate,user2_components,user2_effectiveError,user2_delay_ms,user2_cqi,user2_frame_rate,user3_components,user3_effectiveError,user3_delay_ms,user3_cqi,user3_frame_rate,user4_components,user4_effectiveError,user4_delay_ms,user4_cqi,user4_frame_rate,user5_components,user5_effectiveError,user5_delay_ms,user5_cqi,user5_frame_rate,user6_components,user6_effectiveError,user6_delay_ms,user6_cqi,user6_frame_rate,user7_components,user7_effectiveError,user7_delay_ms,user7_cqi,user7_frame_rate,user8_components,user8_effectiveError,user8_delay_ms,user8_cqi,user8_frame_rate,user9_components,user9_effectiveError,user9_delay_ms,user9_cqi,user9_frame_rate,num_users,error_at_80,error_ratio
31,1,35,1336.038609,2.11422,15,120,1,3852.697659,2.429789,13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,643.0676005095643,3.728292727670254
34,1,25,1539.558238,2.279414,15,120,35,1400.702323,5.301279,13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,863.1472182099614,2.626897754161102
35,1,15,1983.658392,2.330668,15,120,25,1698.590667,2.298619,13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1240.4868302879831,1.858914072650974
36,1,35,1783.850653,2.076509,15,120,20,1992.84907,2.152414,13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1533.6181832758232,1.5384060778306514
37,1,1,2777.268194,2.119414,15,120,35,1831.517568,2.457782,13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1631.6027180632132,1.4303575284489811
38,1,15,2179.053618,2.240745,15,120,60,1706.543247,2.703578,13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1629.5357893329406,1.4109749240920848
39,1,5,2307.327745,2.310674,15,120,45,1862.606304,2.655315,13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1699.607453460998,1.35756508982933
40,1,65,1859.068295,2.844795,15,120,25,2091.192177,2.274371,13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1822.702954290512,1.3024534506109984
42,1,5,2469.011671,2.434857,15,120,50,40582.367921,80.643152,11,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1812.596291898251,1.3621409698818718
44,1,40,1799.881006,2.13392,15,120,45,40582.367921,91.3707,11,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1503.5565293859804,1.6351294426920322
46,1,5,2474.619537,2.1986,15,120,55,40582.367921,81.130288,11,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1302.7822687745957,1.8994881925946128
48,1,10,2114.476511,2.214255,15,120,25,40582.367921,82.467863,11,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1433.5138630675278,1.6908396006139874
50,1,80,1198.805827,2.925541,15,120,35,40582.367921,105.218943,11,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1198.805826564183,2.095459083463221
53,1,60,1195.475663,2.863248,15,120,20,40582.367921,94.708986,11,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1117.4627963114865,2.3246032722286887
54,1,25,1905.566442,2.353018,15,120,10,40582.367921,83.224424,11,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1410.039746983938,1.837800706515213
56,1,60,1630.385325,2.64578,15,120,25,40582.367921,87.77993,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1546.290858915208,1.6497775081468775
58,1,50,1750.747727,2.111613,15,120,55,40582.367921,96.034201,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1538.9444032472582,1.6399144998598276
59,1,20,2186.109692,2.26894,14,120,20,40582.367921,85.74155,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1543.1948262279743,1.6278417883774556
61,1,45,1764.894156,2.349485,15,120,10,40582.367921,84.770546,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1528.3939966931184,1.6235102309066156
62,1,65,1538.6078,2.695752,15,120,1,40582.367921,71.987318,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1502.3516216617345,1.6410551443877626
63,1,75,1450.722371,3.003806,15,120,60,40582.367921,61.487103,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1443.9800590699836,1.6881523718803872
64,1,1,3815.138143,2.087467,15,120,50,40582.367921,51.533201,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1366.6371835716077,1.7641516461235422
