frame,keep_ratio,mse,size_bytes
1,0.8,191.81715626036748,20068
1,0.75,191.8171714001801,18816
1,0.7000000000000001,191.8171714001801,17560
1,0.65,191.85034272959456,16304
1,0.6000000000000001,195.24488553288393,15052
1,0.55,206.52751293964684,13796
1,0.5,232.17097931192257,12544
1,0.45,279.1145269176923,11288
1,0.4,352.1722073899582,10032
1,0.35000000000000003,467.7250405889936,8780
1,0.30000000000000004,622.8093779180199,7524
1,0.25,831.6755074309185,6272
1,0.2,1114.448993979022,5016
1,0.15000000000000002,1437.7053099218756,3760
1,0.1,1913.0073725245893,2508
1,0.05,2722.015491966158,1252
2,0.8,17.19158460982726,20068
2,0.75,17.19158460982726,18816
2,0.7000000000000001,17.19158460982726,17560
2,0.65,17.19158460982726,16304
2,0.6000000000000001,17.19158460982726,15052
2,0.55,17.19158460982726,13796
2,0.5,17.19158460982726,12544
2,0.45,17.19158460982726,11288
2,0.4,17.19158460982726,10032
2,0.35000000000000003,17.19158460982726,8780
2,0.30000000000000004,17.19158460982726,7524
2,0.25,17.19158460982726,6272
2,0.2,17.19158460982726,5016
2,0.15000000000000002,17.19158460982726,3760
2,0.1,16.84491696578334,2508
2,0.05,15.624698220563005,1252
3,0.8,562.7142535988241,20068
3,0.75,562.7142535988241,18816
3,0.7000000000000001,562.7142535988241,17560
3,0.65,562.9050152376294,16304
3,0.6000000000000001,574.5078648207709,15052
3,0.55,671.5825870167464,13796
3,0.5,832.8407279681414,12544
3,0.45,1061.212083650753,11288
3,0.4,1365.4720528051257,10032
3,0.35000000000000003,1808.5894173011184,8780
3,0.30000000000000004,2438.447286374867,7524
3,0.25,3231.29504872486,6272
3,0.2,4211.993730068207,5016
3,0.15000000000000002,5354.22403793782,3760
3,0.1,7258.512089587748,2508
3,0.05,10534.693412482738,1252
4,0.8,722.4506011465564,20068
4,0.75,722.4506011465564,18816
4,0.7000000000000001,722.4506011465564,17560
4,0.65,722.4070590455085,16304
4,0.6000000000000001,722.8934709448367,15052
4,0.55,758.3003450883552,13796
4,0.5,840.7695083878934,12544
4,0.45,964.3902568845078,11288
4,0.4,1141.110809566453,10032
4,0.35000000000000003,1413.2208416238427,8780
4,0.30000000000000004,1822.6619336754084,7524
4,0.25,2401.809908822179,6272
4,0.2,3089.0704379417,5016
4,0.15000000000000002,4063.4721684269607,3760
4,0.1,5499.9092465266585,2508
4,0.05,8025.141814537346,1252
5,0.8,217.34787644818425,20068
5,0.75,217.34790672780946,18816
5,0.7000000000000001,217.34787644818425,17560
5,0.65,217.34787644818425,16304
5,0.6000000000000001,217.34790672780946,15052
5,0.55,217.34787644818425,13796
5,0.5,217.34790672780946,12544
5,0.45,217.34787644818425,11288
5,0.4,217.34787644818425,10032
5,0.35000000000000003,217.34787644818425,8780
5,0.30000000000000004,217.34787644818425,7524
5,0.25,217.50372567912564,6272
5,0.2,220.90995641774498,5016
5,0.15000000000000002,232.28816146147437,3760
5,0.1,262.23169796867296,2508
5,0.05,352.3273601895198,1252
