frame,components,mse,size_bytes,error_at_k80,error_ratio
0,80,3.966476110778685,125000,3.966476110778685,149.17536830512128
0,75,4.221764078972532,117275,3.966476110778685,149.17536830512128
0,70,4.572602404891748,109564,3.966476110778685,149.17536830512128
0,65,5.072216626361677,101840,3.966476110778685,149.17536830512128
0,60,5.297171552030876,94115,3.966476110778685,149.17536830512128
0,55,5.606928956985312,86405,3.966476110778685,149.17536830512128
0,50,6.1686170887087615,78680,3.966476110778685,149.17536830512128
0,45,6.473193224425615,70955,3.966476110778685,149.17536830512128
0,40,7.19866597941191,63245,3.966476110778685,149.17536830512128
0,35,7.6973701140680495,55520,3.966476110778685,149.17536830512128
0,30,11.523890790306153,47796,3.966476110778685,149.17536830512128
0,25,13.570913295378766,40085,3.966476110778685,149.17536830512128
0,20,16.487895821699738,32361,3.966476110778685,149.17536830512128
0,15,29.6894728089199,24636,3.966476110778685,149.17536830512128
0,10,69.32947969418439,16926,3.966476110778685,149.17536830512128
0,5,591.7005346988753,9201,3.966476110778685,149.17536830512128
1,80,3.9557802926252976,125000,3.9557802926252976,149.61733565820455
1,75,4.211240629927627,117275,3.9557802926252976,149.61733565820455
1,70,4.561848263323569,109564,3.9557802926252976,149.61733565820455
1,65,5.062197140569697,101840,3.9557802926252976,149.61733565820455
1,60,5.287030614313803,94115,3.9557802926252976,149.61733565820455
1,55,5.597047220934703,86405,3.9557802926252976,149.61733565820455
1,50,6.160555145233943,78680,3.9557802926252976,149.61733565820455
1,45,6.464353794912003,70955,3.9557802926252976,149.61733565820455
1,40,7.189628091533086,63245,3.9557802926252976,149.61733565820455
1,35,7.687779952423331,55520,3.9557802926252976,149.61733565820455
1,30,11.515706296193033,47796,3.9557802926252976,149.61733565820455
1,25,13.561844739843457,40085,3.9557802926252976,149.61733565820455
1,20,16.48052036365038,32361,3.9557802926252976,149.61733565820455
1,15,29.686960046300907,24636,3.9557802926252976,149.61733565820455
1,10,69.34923581516681,16926,3.9557802926252976,149.61733565820455
1,5,591.8533078318297,9201,3.9557802926252976,149.61733565820455
2,80,3.958614113790453,125000,3.958614113790453,149.50108397520637
2,75,4.214260309121818,117275,3.958614113790453,149.50108397520637
2,70,4.564973246372773,109564,3.958614113790453,149.50108397520637
2,65,5.065117186367168,101840,3.958614113790453,149.50108397520637
2,60,5.289925486096189,94115,3.958614113790453,149.50108397520637
2,55,5.599874083070283,86405,3.958614113790453,149.50108397520637
2,50,6.163112241826722,78680,3.958614113790453,149.50108397520637
2,45,6.467090616075517,70955,3.958614113790453,149.50108397520637
2,40,7.192681470870469,63245,3.958614113790453,149.50108397520637
2,35,7.691269660526139,55520,3.958614113790453,149.50108397520637
2,30,11.51888932225435,47796,3.958614113790453,149.50108397520637
2,25,13.56457419535458,40085,3.958614113790453,149.50108397520637
2,20,16.482502660659932,32361,3.958614113790453,149.50108397520637
2,15,29.686541138618644,24636,3.958614113790453,149.50108397520637
2,10,69.34147759486706,16926,3.958614113790453,149.50108397520637
2,5,591.8171010512237,9201,3.958614113790453,149.50108397520637
3,80,3.956676797008873,125000,3.956676797008873,149.58059294822056
3,75,4.212269518092776,117275,3.956676797008873,149.58059294822056
3,70,4.563003662396015,109564,3.956676797008873,149.58059294822056
3,65,5.063202466094154,101840,3.956676797008873,149.58059294822056
3,60,5.287960483847932,94115,3.956676797008873,149.58059294822056
3,55,5.597957653848821,86405,3.956676797008873,149.58059294822056
3,50,6.161155884793941,78680,3.956676797008873,149.58059294822056
3,45,6.465074055264132,70955,3.956676797008873,149.58059294822056
3,40,7.190747321755409,63245,3.956676797008873,149.58059294822056
3,35,7.689280134318559,55520,3.956676797008873,149.58059294822056
3,30,11.516933155001135,47796,3.956676797008873,149.58059294822056
3,25,13.56243259600379,40085,3.956676797008873,149.58059294822056
3,20,16.480442411591078,32361,3.956676797008873,149.58059294822056
3,15,29.68686240092912,24636,3.956676797008873,149.58059294822056
3,10,69.34693649683746,16926,3.956676797008873,149.58059294822056
3,5,591.8420614010532,9201,3.956676797008873,149.58059294822056
4,80,3.956012926422354,125000,3.956012926422354,149.60673889692148
4,75,4.211567761563228,117275,3.956012926422354,149.60673889692148
4,70,4.5621714563696765,109564,3.956012926422354,149.60673889692148
4,65,5.062499793060048,101840,3.956012926422354,149.60673889692148
4,60,5.287090142193944,94115,3.956012926422354,149.60673889692148
4,55,5.597073153065971,86405,3.956012926422354,149.60673889692148
4,50,6.160408896543866,78680,3.956012926422354,149.60673889692148
4,45,6.464378444311151,70955,3.956012926422354,149.60673889692148
