frame,components,mse,size_bytes,error_at_k80,error_ratio
0,80,0.1463626516641814,125000,0.1463626516641814,1747.429626021799
0,75,0.1751855448664062,117279,0.1463626516641814,1747.429626021799
0,70,0.2057021698176351,109558,0.1463626516641814,1747.429626021799
0,65,0.227847529656288,101838,0.1463626516641814,1747.429626021799
0,60,0.2587001201559376,94117,0.1463626516641814,1747.429626021799
0,55,0.286457084629939,86397,0.1463626516641814,1747.429626021799
0,50,0.3481229536991252,78676,0.1463626516641814,1747.429626021799
0,45,0.466605167857911,70955,0.1463626516641814,1747.429626021799
0,40,0.6796903741026898,63235,0.1463626516641814,1747.429626021799
0,35,0.8033582946481094,55514,0.1463626516641814,1747.429626021799
0,30,1.0852892220604111,47794,0.1463626516641814,1747.429626021799
0,25,3.3557063551981705,40073,0.1463626516641814,1747.429626021799
0,20,4.171753499250894,32367,0.1463626516641814,1747.429626021799
0,15,7.59704447519361,24646,0.1463626516641814,1747.429626021799
0,10,56.2851044996705,16925,0.1463626516641814,1747.429626021799
0,5,255.75843366109947,9205,0.1463626516641814,1747.429626021799
1,80,0.1445821707330981,125000,0.1445821707330981,1768.9678226093763
1,75,0.1734766285959001,117279,0.1445821707330981,1768.9678226093763
1,70,0.2041941011685759,109558,0.1445821707330981,1768.9678226093763
1,65,0.2262478309891277,101838,0.1445821707330981,1768.9678226093763
1,60,0.2570199420630608,94117,0.1445821707330981,1768.9678226093763
1,55,0.2847313770925035,86397,0.1445821707330981,1768.9678226093763
1,50,0.3464590625674255,78676,0.1445821707330981,1768.9678226093763
1,45,0.4650155716171812,70955,0.1445821707330981,1768.9678226093763
1,40,0.6783123249229203,63235,0.1445821707330981,1768.9678226093763
1,35,0.8022967520775721,55514,0.1445821707330981,1768.9678226093763
1,30,1.084098181770688,47794,0.1445821707330981,1768.9678226093763
1,25,3.355175738939977,40073,0.1445821707330981,1768.9678226093763
1,20,4.170723019930198,32367,0.1445821707330981,1768.9678226093763
1,15,7.595379623606249,24646,0.1445821707330981,1768.9678226093763
1,10,56.2859535273987,16925,0.1445821707330981,1768.9678226093763
1,5,255.7612077498657,9205,0.1445821707330981,1768.9678226093763
2,80,0.1445821707330981,125000,0.1445821707330981,1768.9678226093763
2,75,0.1734766285959001,117279,0.1445821707330981,1768.9678226093763
2,70,0.2041941011685759,109558,0.1445821707330981,1768.9678226093763
2,65,0.2262478309891277,101838,0.1445821707330981,1768.9678226093763
2,60,0.2570199420630608,94117,0.1445821707330981,1768.9678226093763
2,55,0.2847313770925035,86397,0.1445821707330981,1768.9678226093763
2,50,0.3464590625674255,78676,0.1445821707330981,1768.9678226093763
2,45,0.4650155716171812,70955,0.1445821707330981,1768.9678226093763
2,40,0.6783123249229203,63235,0.1445821707330981,1768.9678226093763
2,35,0.8022967520775721,55514,0.1445821707330981,1768.9678226093763
2,30,1.084098181770688,47794,0.1445821707330981,1768.9678226093763
2,25,3.355175738939977,40073,0.1445821707330981,1768.9678226093763
2,20,4.170723019930198,32367,0.1445821707330981,1768.9678226093763
2,15,7.595379623606249,24646,0.1445821707330981,1768.9678226093763
2,10,56.2859535273987,16925,0.1445821707330981,1768.9678226093763
2,5,255.7612077498657,9205,0.1445821707330981,1768.9678226093763
3,80,0.1445821707330981,125000,0.1445821707330981,1768.9678226093763
3,75,0.1734766285959001,117279,0.1445821707330981,1768.9678226093763
3,70,0.2041941011685759,109558,0.1445821707330981,1768.9678226093763
3,65,0.2262478309891277,101838,0.1445821707330981,1768.9678226093763
3,60,0.2570199420630608,94117,0.1445821707330981,1768.9678226093763
3,55,0.2847313770925035,86397,0.1445821707330981,1768.9678226093763
3,50,0.3464590625674255,78676,0.1445821707330981,1768.9678226093763
3,45,0.4650155716171812,70955,0.1445821707330981,1768.9678226093763
3,40,0.6783123249229203,63235,0.1445821707330981,1768.9678226093763
3,35,0.8022967520775721,55514,0.1445821707330981,1768.9678226093763
3,30,1.084098181770688,47794,0.1445821707330981,1768.9678226093763
3,25,3.355175738939977,40073,0.1445821707330981,1768.9678226093763
3,20,4.170723019930198,32367,0.1445821707330981,1768.9678226093763
3,15,7.595379623606249,24646,0.1445821707330981,1768.9678226093763
3,10,56.2859535273987,16925,0.1445821707330981,1768.9678226093763
3,5,255.7612077498657,9205,0.1445821707330981,1768.9678226093763
4,80,0.144564884237839,125000,0.144564884237839,1769.1543146532238
4,75,0.1734740101913811,117279,0.144564884237839,1769.1543146532238
4,70,0.2041976958654546,109558,0.144564884237839,1769.1543146532238
4,65,0.2262528708839991,101838,0.144564884237839,1769.1543146532238
4,60,0.2570223076227563,94117,0.144564884237839,1769.1543146532238
4,55,0.284740578987543,86397,0.144564884237839,1769.1543146532238
4,50,0.3464724774117766,78676,0.144564884237839,1769.1543146532238
4,45,0.464988457848737,70955,0.144564884237839,1769.1543146532238
4,40,0.6782811171104581,63235,0.144564884237839,1769.1543146532238
