user_id,total_frames,on_time_frames,avg_delay_ms,delay_reliability,user_satisfied,avg_mse,avg_cqi
0,1800,0,64.700047,0.000000,0,1000.000000,14.51
1,1440,13,47.162333,0.009028,0,991.207099,14.16
2,1800,0,180.154079,0.000000,0,1000.000000,13.81
3,1440,18,96.272663,0.012500,0,987.969533,14.27
4,2400,0,105.358865,0.000000,0,1000.000000,14.00
5,1440,0,44.120686,0.000000,0,1000.000000,13.98
6,1440,0,35.787221,0.000000,0,1000.000000,14.07
