frame,components
0,300
1,225
2,225
3,225
4,225
5,225
6,225
7,225
8,225
9,225
10,225
11,225
12,225
13,225
14,400
15,225
16,225
17,75
18,225
19,75
20,225
21,225
22,225
23,75
24,225
25,400
26,75
27,225
28,225
29,225
30,400
31,75
32,400
33,75
34,225
35,225
36,225
37,75
38,225
39,225
40,225
41,75
42,225
43,225
44,400
45,400
46,225
47,225
48,75
49,225
50,75
51,400
52,400
53,225
54,225
55,225
56,75
57,225
58,300
59,225
60,225
61,75
62,225
63,400
64,225
65,75
66,225
67,400
68,225
69,75
70,400
71,225
72,225
73,75
74,225
75,225
76,100
77,75
78,75
79,75
80,75
81,75
82,75
83,75
84,75
85,75
86,75
87,75
88,400
89,75
90,75
91,75
92,75
93,75
94,400
95,75
96,75
97,400
98,400
99,100
100,75
101,100
102,400
103,75
104,100
105,225
106,100
107,225
108,100
109,275
110,100
111,275
112,100
113,225
114,400
115,225
116,400
117,225
118,100
119,225
120,375
121,100
122,100
123,100
124,150
125,100
126,100
127,100
128,75
129,150
130,150
131,100
132,75
133,150
134,100
135,150
136,100
137,150
138,125
139,100
140,125
141,100
142,75
143,125
144,100
145,75
146,125
147,125
148,75
149,75
150,125
151,75
152,350
153,150
154,100
155,150
156,150
157,75
158,150
159,150
160,100
161,150
162,150
163,100
164,150
165,375
166,100
167,75
168,75
169,75
170,350
171,150
172,100
173,350
174,350
175,350
176,75
177,75
178,350
179,75
180,225
181,75
182,275
183,400
184,400
185,75
186,400
187,400
188,400
189,275
190,400
191,400
192,400
193,400
194,400
195,275
196,400
197,275
198,275
199,100
200,275
201,275
202,275
203,400
204,300
205,400
206,400
207,300
208,400
209,300
210,400
211,400
212,300
213,300
214,400
215,300
216,300
217,100
218,400
219,300
220,400
221,325
222,75
223,400
224,325
225,325
226,400
227,325
228,75
229,350
230,75
231,325
232,400
233,75
234,400
235,400
236,325
237,325
238,375
239,75
240,350
241,75
242,75
243,75
244,75
245,75
246,350
247,75
248,75
249,75
250,275
251,75
252,75
253,75
254,75
255,75
256,25
257,75
258,25
259,25
260,25
261,25
262,25
263,75
264,25
265,25
266,25
267,25
268,25
269,25
270,25
271,25
272,25
273,100
274,100
275,275
276,400
277,400
278,400
279,400
280,400
281,275
282,275
283,275
284,400
285,400
286,400
287,275
288,25
289,400
290,25
291,400
292,275
293,25
294,275
295,25
296,400
297,350
298,350
299,350
300,25
301,25
302,25
303,25
304,150
305,150
306,25
307,400
308,75
309,350
310,150
311,100
312,25
313,25
314,275
315,75
316,150
317,25
318,75
319,75
320,400
321,75
322,350
323,400
324,400
325,400
326,400
327,225
328,75
329,250
330,275
331,400
332,75
333,275
334,75
335,400
336,250
337,275
338,400
339,400
340,400
341,400
342,400
343,400
344,400
345,250
346,400
347,400
348,400
349,75
350,100
351,100
352,125
353,100
354,75
355,125
356,125
357,125
358,125
359,125
360,125
361,125
362,125
363,125
364,125
365,125
366,125
367,75
368,100
369,75
370,100
371,125
372,75
373,75
374,75
375,75
376,75
377,75
378,400
379,75
380,75
381,100
382,75
383,75
384,400
385,75
386,75
387,75
388,75
389,250
390,400
391,150
392,300
393,75
394,225
395,250
396,400
397,75
398,225
399,400
400,275
401,75
402,400
403,225
404,225
405,250
406,225
407,225
408,75
409,225
410,400
411,400
412,225
413,250
414,400
415,225
416,375
417,400
418,250
419,225
420,400
421,225
422,250
423,400
424,250
425,75
426,400
427,225
428,150
429,100
430,400
431,225
432,400
433,400
434,225
435,75
436,225
437,75
438,400
439,400
440,225
441,250
442,350
443,300
444,100
445,75
446,150
447,100
448,150
449,350
450,350
451,350
452,400
453,75
454,350
455,350
456,25
457,75
458,350
459,25
460,350
461,25
462,350
463,350
464,350
465,75
466,350
467,350
468,75
469,25
470,150
471,100
472,75
473,75
474,100
475,150
476,75
477,25
478,375
479,350
480,100
481,25
482,150
483,75
484,150
485,350
486,75
487,75
488,150
489,25
490,350
491,75
492,25
493,275
494,350
495,350
496,75
497,350
498,400
499,225
500,75
501,400
502,225
503,75
504,400
505,225
506,400
507,400
508,400
509,75
510,400
511,75
512,400
513,400
514,400
515,400
516,400
517,400
518,100
519,400
520,400
521,400
522,400
523,400
524,100
525,150
526,225
527,400
528,150
529,225
530,100
531,225
532,300
533,100
534,75
535,75
536,400
537,225
538,75
539,400
540,75
541,225
542,400
543,75
544,75
545,400
546,225
547,350
548,400
549,325
550,400
551,400
552,400
553,400
554,75
555,400
556,400
557,400
558,275
559,400
560,400
561,275
562,225
563,400
564,400
565,225
566,400
567,300
568,300
569,400
570,225
571,250
572,400
573,75
574,150
575,400
576,75
577,225
578,400
579,225
580,225
581,400
582,300
583,225
584,400
585,75
586,75
587,400
588,225
589,150
590,400
591,225
592,225
593,400
594,300
595,225
596,400
597,225
598,150
599,400
600,225
601,100
602,400
603,400
604,225
605,400
606,225
607,400
608,225
609,400
610,400
611,400
612,400
613,400
614,400
615,150
616,400
617,225
618,75
619,275
620,400
621,400
622,225
623,275
624,225
625,75
626,275
627,275
628,225
629,275
630,400
631,300
632,225
633,275
634,225
635,275
636,225
637,400
638,225
639,275
640,225
641,75
642,75
643,300
644,300
645,300
646,300
647,75
648,300
649,150
650,300
651,350
652,150
653,325
654,350
655,350
656,325
657,325
658,400
659,225
660,400
661,400
662,400
663,400
664,400
665,100
666,400
667,400
668,400
669,400
670,400
671,400
672,400
673,400
674,100
675,400
676,75
677,300
678,400
679,400
680,400
681,400
682,75
683,75
684,400
685,400
686,400
687,400
688,100
689,400
690,400
691,400
692,400
693,400
694,75
695,300
696,75
697,400
698,300
699,400
700,400
701,400
702,400
703,100
704,300
705,300
706,75
707,275
708,225
709,400
710,75
711,75
712,75
713,275
714,275
715,100
716,225
717,275
718,400
719,275
720,150
721,25
722,150
723,150
724,100
725,150
726,150
727,350
728,150
729,275
730,75
731,150
732,150
733,75
734,350
735,150
736,75
737,75
738,150
739,25
740,25
741,150
742,75
743,75
744,150
745,275
746,375
747,150
748,75
749,150
750,150
751,75
752,150
753,150
754,150
755,350
756,300
757,150
758,150
759,375
760,150
761,25
762,150
763,75
764,375
765,350
766,150
767,150
768,25
769,150
770,150
771,250
772,300
773,75
774,225
775,225
776,375
777,250
778,225
779,225
780,225
781,225
782,225
783,250
784,225
785,300
786,75
787,375
788,225
789,75
790,300
791,225
792,250
793,250
794,75
795,250
796,150
797,225
798,300
799,225
800,400
801,400
802,225
803,225
804,275
805,150
806,225
807,300
808,225
809,300
810,300
811,75
812,75
813,75
814,225
815,225
816,275
817,225
818,75
819,225
820,225
821,400
822,225
823,300
824,225
825,400
826,225
827,225
828,75
829,275
830,225
831,400
832,225
833,225
834,400
835,75
836,225
837,150
838,400
839,225
840,400
841,275
842,400
843,100
844,350
845,150
846,25
847,150
848,150
849,25
850,150
851,25
852,75
853,150
854,350
855,25
856,75
857,350
858,75
859,350
860,350
861,400
862,300
863,350
864,350
865,25
866,75
867,25
868,350
869,350
870,350
871,350
872,150
873,150
874,150
875,225
876,225
877,225
878,300
879,75
880,225
881,75
882,225
883,225
884,225
885,400
886,225
887,275
888,225
889,150
890,225
891,250
892,225
893,225
894,400
895,225
896,400
897,225
898,225
899,400
900,300
901,225
902,400
903,400
904,225
905,400
906,225
907,400
908,75
909,225
910,225
911,400
912,400
913,225
914,400
915,250
916,300
917,250
918,300
919,300
920,400
921,300
922,300
923,250
924,300
925,225
926,275
927,75
928,300
929,250
930,300
931,250
932,75
933,250
934,300
935,400
936,275
937,275
938,275
939,275
940,75
941,400
942,350
943,275
944,275
945,275
946,300
947,275
948,275
949,100
950,275
951,275
952,400
953,275
954,275
955,275
956,275
957,75
958,275
959,250
960,250
961,225
962,75
963,225
964,300
965,75
966,275
967,275
968,275
969,225
970,75
971,225
972,275
973,225
974,250
975,225
976,300
977,225
978,300
979,225
980,250
981,225
982,75
983,225
984,150
985,150
986,100
987,150
988,150
989,25
990,300
991,100
992,100
993,150
994,75
995,25
996,75
997,75
998,400
999,275
1000,275
1001,275
1002,75
1003,300
1004,400
1005,75
1006,275
1007,275
1008,400
1009,75
1010,75
1011,300
1012,400
1013,275
1014,400
1015,275
1016,25
1017,75
1018,75
1019,75
1020,25
1021,75
1022,75
1023,75
1024,25
1025,75
1026,25
1027,75
1028,275
1029,75
1030,25
1031,75
1032,25
1033,75
1034,75
1035,400
1036,25
1037,300
1038,25
1039,25
1040,25
1041,300
1042,75
1043,400
1044,75
1045,25
1046,75
1047,25
1048,400
1049,25
1050,400
1051,275
1052,400
1053,75
1054,400
1055,75
1056,75
1057,75
1058,400
1059,25
1060,400
1061,75
1062,400
1063,25
1064,400
1065,250
1066,400
1067,25
1068,300
1069,400
1070,400
1071,400
1072,400
1073,400
1074,75
1075,75
1076,400
1077,400
1078,75
1079,400
1080,400
1081,400
1082,400
1083,400
1084,75
1085,400
1086,400
1087,75
1088,400
1089,400
1090,400
1091,300
1092,400
1093,400
1094,400
1095,300
1096,400
1097,225
1098,400
1099,400
1100,300
1101,300
1102,400
1103,75
1104,300
1105,400
1106,300
1107,225
1108,400
1109,225
1110,300
1111,400
1112,400
1113,225
1114,400
1115,225
1116,400
1117,400
1118,400
1119,225
1120,400
1121,225
1122,300
1123,75
1124,300
1125,225
1126,400
1127,75
1128,225
1129,400
1130,225
1131,225
1132,300
1133,225
1134,400
1135,400
1136,400
1137,225
1138,400
1139,300
1140,300
1141,275
1142,75
1143,250
1144,75
1145,275
1146,400
1147,250
1148,300
1149,300
1150,300
1151,300
1152,400
1153,275
1154,300
1155,250
1156,300
1157,300
1158,300
1159,400
1160,300
1161,300
1162,300
1163,75
1164,400
1165,275
1166,400
1167,400
1168,75
1169,300
1170,400
1171,350
1172,75
1173,350
1174,300
1175,300
1176,75
1177,300
1178,300
1179,400
1180,75
1181,300
1182,400
1183,75
1184,400
1185,400
1186,400
1187,300
1188,400
1189,75
1190,400
1191,75
1192,400
1193,75
1194,400
1195,300
1196,300
1197,75
1198,400
1199,75
1200,400
1201,400
1202,400
1203,75
1204,350
1205,125
1206,400
1207,125
1208,325
1209,400
1210,350
1211,325
1212,400
1213,150
1214,400
1215,100
1216,400
1217,400
1218,400
1219,150
1220,150
1221,75
1222,400
1223,150
1224,400
1225,400
1226,400
1227,100
1228,400
1229,150
1230,400
1231,150
1232,400
1233,400
1234,400
1235,400
1236,400
1237,400
1238,400
1239,400
1240,400
1241,400
1242,75
1243,400
1244,75
1245,400
1246,300
1247,400
1248,400
1249,400
1250,275
1251,400
1252,275
1253,400
1254,400
1255,400
1256,300
1257,400
1258,350
1259,275
1260,300
1261,400
1262,300
1263,75
1264,350
1265,400
1266,375
1267,275
1268,400
1269,400
1270,400
1271,300
1272,400
1273,400
1274,400
1275,275
1276,400
1277,75
1278,300
1279,400
1280,400
1281,75
1282,400
1283,400
1284,400
1285,400
1286,400
1287,400
1288,400
1289,400
1290,400
1291,400
1292,400
1293,400
1294,400
1295,75
1296,400
1297,75
1298,400
1299,400
1300,400
1301,400
1302,75
1303,400
1304,400
1305,400
1306,400
1307,400
1308,400
1309,400
1310,400
1311,400
1312,400
1313,75
1314,400
1315,75
1316,400
1317,400
1318,400
1319,400
1320,75
1321,400
1322,75
1323,75
1324,400
1325,400
1326,300
1327,400
1328,75
1329,400
1330,75
1331,400
1332,400
1333,400
1334,400
1335,400
1336,400
1337,400
1338,400
1339,75
1340,400
1341,400
1342,400
1343,400
1344,400
1345,75
1346,75
1347,400
1348,400
1349,400
1350,400
1351,400
1352,400
1353,400
1354,400
1355,400
1356,400
