frame,components
0,400
1,225
2,225
3,225
4,225
5,225
6,225
7,225
8,225
9,225
10,225
11,225
12,225
13,225
14,400
15,225
16,225
17,400
18,225
19,100
20,225
21,125
22,125
23,100
24,125
25,400
26,400
27,125
28,125
29,125
30,400
31,400
32,400
33,400
34,125
35,125
36,125
37,100
38,125
39,125
40,125
41,100
42,125
43,125
44,400
45,400
46,125
47,125
48,100
49,225
50,100
51,400
52,400
53,125
54,125
55,125
56,100
57,125
58,400
59,125
60,125
61,100
62,125
63,400
64,125
65,100
66,125
67,400
68,125
69,100
70,400
71,125
72,125
73,100
74,125
75,125
76,400
77,125
78,125
79,100
80,400
81,125
82,125
83,125
84,125
85,125
86,125
87,100
88,400
89,175
90,175
91,100
92,175
93,400
94,150
95,150
96,175
97,150
98,150
99,400
100,175
101,400
102,400
103,175
104,400
105,125
106,400
107,125
108,400
109,125
110,400
111,125
112,400
113,225
114,400
115,225
116,400
117,225
118,400
119,225
120,400
121,400
122,150
123,400
124,400
125,150
126,400
127,150
128,400
129,150
130,150
131,400
132,100
133,150
134,400
135,150
136,150
137,150
138,150
139,400
140,125
141,400
142,400
143,150
144,400
145,400
146,150
147,150
148,400
149,400
150,125
151,400
152,400
153,125
154,400
155,125
156,125
157,400
158,125
159,125
160,400
161,125
162,125
163,100
164,125
165,400
166,400
167,100
168,100
169,400
170,400
171,125
172,100
173,400
174,400
175,400
176,400
177,100
178,400
179,400
180,125
181,400
182,175
183,400
184,400
185,175
186,175
187,400
188,400
189,175
190,400
191,125
192,400
193,400
194,400
195,175
196,400
197,175
198,175
199,400
200,175
201,175
202,150
203,400
204,125
205,400
206,125
207,125
208,400
209,125
210,125
211,400
212,125
213,125
214,400
215,200
216,125
217,400
218,400
219,125
220,400
221,125
222,150
223,125
224,125
225,125
226,125
227,125
228,125
229,400
230,100
231,125
232,125
233,100
234,200
235,125
236,125
237,125
238,400
239,400
240,400
241,125
242,125
243,125
244,125
245,100
246,400
247,400
248,125
249,125
250,325
251,400
252,125
253,125
254,400
255,125
256,400
257,400
258,150
259,400
260,150
261,150
262,400
263,400
264,150
265,150
266,400
267,400
268,400
269,150
270,400
271,400
272,150
273,150
274,400
275,250
276,150
277,400
278,400
279,400
280,400
281,250
282,150
283,250
284,400
285,400
286,250
287,125
288,400
289,400
290,400
291,400
292,400
293,400
294,125
295,400
296,400
297,125
298,400
299,400
300,400
301,100
302,100
303,400
304,125
305,125
306,400
307,125
308,100
309,400
310,125
311,100
312,400
313,100
314,400
315,400
316,125
317,400
318,100
319,150
320,400
321,400
322,400
323,150
324,400
325,400
326,150
327,225
328,125
329,150
330,150
331,400
332,400
333,150
334,100
335,175
336,150
337,175
338,400
339,125
340,400
341,125
342,125
343,400
344,125
345,225
346,400
347,400
348,275
349,150
350,150
351,150
352,150
353,400
354,400
355,150
356,150
357,200
358,400
359,200
360,150
361,150
362,200
363,400
364,200
365,275
366,150
367,150
368,400
369,150
370,400
371,150
372,400
373,125
374,125
375,125
376,400
377,125
378,400
379,125
380,125
381,400
382,125
383,125
384,400
385,125
386,125
387,400
388,125
389,125
390,400
391,125
392,125
393,400
394,125
395,125
396,150
397,225
398,125
399,400
400,125
401,225
402,400
403,225
404,225
405,400
406,225
407,225
408,400
409,225
410,400
411,400
412,225
413,150
414,400
415,225
416,225
417,150
418,225
419,125
420,400
421,125
422,125
423,150
424,125
425,225
426,400
427,125
428,125
429,400
430,400
431,125
432,400
433,400
434,225
435,400
436,225
437,100
438,400
439,400
440,225
441,150
442,400
443,400
444,400
445,100
446,100
447,400
448,100
449,400
450,400
451,125
452,400
453,400
454,125
455,125
456,400
457,400
458,125
459,400
460,125
461,400
462,125
463,400
464,125
465,400
466,125
467,125
468,400
469,125
470,125
471,400
472,150
473,125
474,400
475,125
476,100
477,400
478,400
479,400
480,400
481,100
482,125
483,400
484,100
485,400
486,400
487,100
488,125
489,125
490,125
491,100
492,400
493,125
494,125
495,400
496,100
497,125
498,400
499,125
500,100
501,400
502,125
503,100
504,400
505,125
506,400
507,400
508,225
509,100
510,225
511,400
512,400
513,225
514,225
515,400
516,225
517,225
518,400
519,225
520,225
521,400
522,225
523,250
524,400
525,125
526,125
527,400
528,400
529,125
530,400
531,125
532,200
533,400
534,100
535,125
536,400
537,125
538,400
539,200
540,100
541,125
542,125
543,100
544,400
545,200
546,125
547,400
548,400
549,200
550,400
551,400
552,175
553,125
554,400
555,400
556,200
557,400
558,125
559,125
560,400
561,125
562,225
563,400
564,400
565,225
566,400
567,400
568,400
569,400
570,175
571,150
572,400
573,125
574,125
575,125
576,150
577,125
578,400
579,125
580,125
581,400
582,400
583,125
584,400
585,100
586,100
587,200
588,125
589,125
590,400
591,125
592,125
593,400
594,400
595,125
596,400
597,125
598,225
599,400
600,125
601,400
602,400
603,400
604,125
605,400
606,125
607,400
608,125
609,400
610,400
611,400
612,225
613,200
614,125
615,125
616,200
617,125
618,400
619,200
620,175
621,400
622,175
623,175
624,175
625,100
626,175
627,175
628,175
629,175
630,225
631,200
632,175
633,175
634,175
635,150
636,175
637,400
638,175
639,175
640,175
641,100
642,400
643,225
644,225
645,125
646,125
647,100
648,125
649,125
650,125
651,200
652,200
653,125
654,400
655,400
656,200
657,125
658,125
659,225
660,125
661,125
662,125
663,125
664,125
665,150
666,400
667,250
668,400
669,250
670,400
671,225
672,400
673,200
674,400
675,225
676,400
677,200
678,400
679,400
680,400
681,225
682,400
683,100
684,200
685,400
686,225
687,200
688,400
689,225
690,200
691,400
692,225
693,400
694,400
695,400
696,100
697,400
698,200
699,200
700,400
701,225
702,350
703,400
704,225
705,400
706,400
707,175
708,175
709,400
710,100
711,100
712,400
713,150
714,175
715,400
716,225
717,175
718,400
719,175
720,125
721,400
722,125
723,125
724,125
725,125
726,125
727,400
728,125
729,150
730,400
731,125
732,125
733,400
734,400
735,125
736,400
737,100
738,125
739,125
740,400
741,125
742,400
743,100
744,125
745,250
746,225
747,125
748,150
749,125
750,125
751,150
752,100
753,125
754,125
755,400
756,200
757,125
758,100
759,400
760,125
761,400
762,125
763,100
764,400
765,400
766,125
767,125
768,400
769,125
770,125
771,150
772,225
773,100
774,225
775,225
776,225
777,150
778,225
779,225
780,225
781,225
782,225
783,225
784,225
785,225
786,150
787,225
788,225
789,400
790,200
791,225
792,150
793,250
794,400
795,225
796,150
797,225
798,400
799,225
800,125
801,150
802,225
803,225
804,150
805,100
806,225
807,400
808,225
809,225
810,400
811,400
812,225
813,175
814,225
815,225
816,150
817,225
818,400
819,225
820,125
821,125
822,125
823,125
824,125
825,200
826,125
827,125
828,400
829,225
830,125
831,125
832,125
833,125
834,125
835,100
836,125
837,125
838,400
839,125
840,400
841,200
842,225
843,400
844,400
845,100
846,125
847,400
848,125
