frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms
162,50,58.394158,96208,2.307805800,2.315500000,7.694200,0,846.769921,5.000000
163,50,58.087178,96208,2.320691447,2.327000000,6.308553,0,846.769921,5.000000
164,50,58.293006,96208,2.334477926,2.341000000,6.522074,0,846.769921,5.000000
165,50,59.513538,96208,2.349297395,2.355000000,5.702605,0,846.769921,5.000000
166,50,57.008151,96208,2.362469523,2.369500000,7.030477,0,846.769921,5.000000
167,50,58.509506,96208,2.377169598,2.384500000,7.330402,0,846.769921,5.000000
168,50,58.459097,96208,2.393982325,2.399500000,5.517675,0,846.769921,5.000000
169,50,59.638976,96208,2.407495920,2.413000000,5.504080,0,846.769921,5.000000
170,50,59.814236,96208,2.420521581,2.426500000,5.978419,0,846.769921,5.000000
171,50,59.498861,96208,2.434309543,2.439000000,4.690457,1,59.498861,5.000000
172,50,57.429813,96208,2.449480729,2.455000000,5.519271,0,846.769921,5.000000
173,50,60.176437,96208,2.464496354,2.470000000,5.503646,0,846.769921,5.000000
174,50,57.429387,96208,2.479311389,2.484500000,5.188611,0,846.769921,5.000000
175,50,56.508123,96208,2.492024211,2.497500000,5.475789,0,846.769921,5.000000
176,50,57.882155,96208,2.512091760,2.520500000,8.408240,0,846.769921,5.000000
177,50,56.852325,96208,2.527595330,2.533000000,5.404670,0,846.769921,5.000000
178,50,56.523671,96208,2.542525595,2.548500000,5.974405,0,846.769921,5.000000
179,50,56.080615,96208,2.555434631,2.559500000,4.065369,1,56.080615,5.000000
180,50,57.466531,96208,2.570771918,2.575000000,4.228082,1,57.466531,5.000000
181,50,59.408295,96208,2.585006700,2.590000000,4.993300,1,59.408295,5.000000
182,50,59.627060,96208,2.597865737,2.602000000,4.134263,1,59.627060,5.000000
183,50,60.825015,96208,2.610730890,2.618500000,7.769110,0,846.769921,5.000000
184,50,60.127811,96208,2.625104555,2.632500000,7.395445,0,846.769921,5.000000
185,50,59.701191,96208,2.638746665,2.644000000,5.253335,0,846.769921,5.000000
186,50,59.650797,96208,2.654272838,2.659000000,4.727162,1,59.650797,5.000000
187,50,61.398478,96208,2.668160316,2.673000000,4.839684,1,61.398478,5.000000
188,50,59.069866,96208,2.682387123,2.686500000,4.112877,1,59.069866,5.000000
189,50,57.991722,96208,2.695373489,2.699500000,4.126511,1,57.991722,5.000000
190,50,59.284468,96208,2.711368882,2.716500000,5.131118,0,846.769921,5.000000
191,50,57.040536,96208,2.725676311,2.734000000,8.323689,0,846.769921,5.000000
192,50,57.333637,96208,2.740327063,2.745000000,4.672937,1,57.333637,5.000000
193,50,57.218697,96208,2.755458142,2.760000000,4.541858,1,57.218697,5.000000
194,50,56.206854,96208,2.770427403,2.779000000,8.572597,0,846.769921,5.000000
195,50,58.482907,96208,2.785199820,2.790500000,5.300180,0,846.769921,5.000000
196,50,57.369183,96208,2.798004131,2.813500000,15.495869,0,846.769921,5.000000
197,50,59.195621,96208,2.811990380,2.820500000,8.509620,0,846.769921,5.000000
198,50,59.837754,96208,2.827195353,2.836000000,8.804647,0,846.769921,5.000000
199,50,60.556227,96208,2.841692356,2.850500000,8.807644,0,846.769921,5.000000
200,50,63.967860,96208,2.856487455,2.864500000,8.012545,0,846.769921,5.000000
201,50,63.717276,96208,2.869370794,2.875500000,6.129206,0,846.769921,5.000000
202,50,64.369093,96208,2.886108410,2.894000000,7.891590,0,846.769921,5.000000
203,50,63.353712,96208,2.899917648,2.907500000,7.582352,0,846.769921,5.000000
204,50,64.934373,96208,2.914944629,2.921000000,6.055371,0,846.769921,5.000000
205,50,66.583504,96208,2.928962761,2.933500000,4.537239,1,66.583504,5.000000
206,50,65.969869,96208,2.941752220,2.946500000,4.747780,1,65.969869,5.000000
207,50,66.207263,96208,2.954428098,2.960000000,5.571902,0,846.769921,5.000000
208,50,64.058881,96208,2.971237815,2.979000000,7.762185,0,846.769921,5.000000
209,50,65.050498,96208,2.984943012,2.991000000,6.056988,0,846.769921,5.000000
210,50,64.275771,96208,2.998073961,3.009000000,10.926039,0,846.769921,5.000000
211,50,64.627661,96208,3.013258016,3.022000000,8.741984,0,846.769921,5.000000
212,50,64.587967,96208,3.026976869,3.038500000,11.523131,0,846.769921,5.000000
213,50,68.041913,96208,3.041612321,3.050500000,8.887679,0,846.769921,5.000000
214,50,66.824559,96208,3.054953063,3.063500000,8.546937,0,846.769921,5.000000
215,50,69.197035,96208,3.072588945,3.082500000,9.911055,0,846.769921,5.000000
216,50,70.854694,96208,3.086600093,3.095000000,8.399907,0,846.769921,5.000000
217,50,75.155137,96208,3.101947528,3.114500000,12.552472,0,846.769921,5.000000
218,50,74.296578,96208,3.116094217,3.127500000,11.405783,0,846.769921,5.000000
219,50,74.046941,96208,3.128950401,3.136000000,7.049599,0,846.769921,5.000000
220,50,76.334844,96208,3.144704249,3.151500000,6.795751,0,846.769921,5.000000
221,50,76.526247,96208,3.158464750,3.165500000,7.035250,0,846.769921,5.000000
222,50,76.979289,96208,3.171300058,3.178500000,7.199942,0,846.769921,5.000000
223,50,76.860238,96208,3.184889632,3.191000000,6.110368,0,846.769921,5.000000
224,50,78.206355,96208,3.199213232,3.206000000,6.786768,0,846.769921,5.000000
225,50,81.076471,96208,3.212658978,3.220000000,7.341022,0,846.769921,5.000000
226,50,82.648158,96208,3.229005998,3.235000000,5.994002,0,846.769921,5.000000
227,50,83.881398,96208,3.242451999,3.248500000,6.048001,0,846.769921,5.000000
228,50,83.868240,96208,3.258653929,3.264500000,5.846071,0,846.769921,5.000000
229,50,82.436432,96208,3.272108174,3.278000000,5.891826,0,846.769921,5.000000
230,50,82.400011,96208,3.288279239,3.293500000,5.220761,0,846.769921,5.000000
231,50,83.485785,96208,3.303118535,3.310000000,6.881465,0,846.769921,5.000000
232,50,79.776693,96208,3.316029003,3.321500000,5.470997,0,846.769921,5.000000
233,50,80.403280,96208,3.329501310,3.334500000,4.998690,1,80.403280,5.000000
234,50,83.813773,96208,3.345877659,3.350000000,4.122341,1,83.813773,5.000000
235,50,81.495363,96208,3.359475917,3.365000000,5.524083,0,846.769921,5.000000
236,50,81.995284,96208,3.372163708,3.377500000,5.336292,0,846.769921,5.000000
237,50,80.713158,96208,3.386387877,3.392500000,6.112123,0,846.769921,5.000000
238,50,84.448084,96208,3.400291277,3.405500000,5.208723,0,846.769921,5.000000
239,50,84.099291,96208,3.414367669,3.421000000,6.632331,0,846.769921,5.000000
240,50,88.259316,96208,3.428446922,3.434000000,5.553078,0,846.769921,5.000000
241,50,87.927936,96208,3.444714032,3.449500000,4.785968,1,87.927936,5.000000
242,50,88.025810,96208,3.458678017,3.464500000,5.821983,0,846.769921,5.000000
243,50,85.663611,96208,3.471753579,3.476500000,4.746421,1,85.663611,5.000000
244,50,85.102055,96208,3.484911913,3.490000000,5.088087,0,846.769921,5.000000
245,50,81.824501,96208,3.501086174,3.508500000,7.413826,0,846.769921,5.000000
246,50,80.186720,96208,3.514152421,3.521000000,6.847579,0,846.769921,5.000000
247,50,79.932738,96208,3.528669451,3.533500000,4.830549,1,79.932738,5.000000
248,50,80.063863,96208,3.543616958,3.549500000,5.883042,0,846.769921,5.000000
