frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms
1,60,61.1505,93648,0.023513105,0.028000000,4.486895,1,61.150546,5.000000
2,60,59.044716,93648,0.030575896,0.035000000,4.424104,1,59.044716,5.000000
3,60,59.240263,93648,0.038084034,0.044500000,6.415966,0,1042.178364,5.000000
4,60,58.094532,93648,0.044279914,0.049000000,4.720086,1,58.094532,5.000000
5,60,59.795917,93648,0.053736666,0.058000000,4.263334,1,59.795917,5.000000
6,60,57.151582,93648,0.062035829,0.068000000,5.964171,0,1042.178364,5.000000
7,60,56.201270,93648,0.068920376,0.073000000,4.079624,1,56.201270,5.000000
8,60,54.469887,93648,0.073847569,0.078500000,4.652431,1,54.469887,5.000000
9,60,54.263001,93648,0.080347686,0.087000000,6.652314,0,1042.178364,5.000000
10,60,52.491500,93648,0.085278042,0.091000000,5.721958,0,1042.178364,5.000000
11,60,53.883793,93648,0.090421198,0.096000000,5.578802,0,1042.178364,5.000000
12,60,53.814973,93648,0.095584692,0.102500000,6.915308,0,1042.178364,5.000000
13,60,55.606825,93648,0.101456928,0.113500000,12.043072,0,1042.178364,5.000000
14,60,53.146979,93648,0.110414174,0.116500000,6.085826,0,1042.178364,5.000000
15,60,55.170096,93648,0.115283551,0.121000000,5.716449,0,1042.178364,5.000000
16,60,52.956207,93648,0.126658212,0.131500000,4.841788,1,52.956207,5.000000
17,60,56.119629,93648,0.131962152,0.138000000,6.037848,0,1042.178364,5.000000
18,60,55.223794,93648,0.138587856,0.143000000,4.412144,1,55.223794,5.000000
19,60,57.705929,93648,0.144373550,0.150500000,6.126450,0,1042.178364,5.000000
20,60,57.354683,93648,0.149459964,0.155000000,5.540036,0,1042.178364,5.000000
21,60,61.064142,93648,0.156094874,0.161000000,4.905126,1,61.064142,5.000000
22,60,57.609807,93648,0.161402807,0.167000000,5.597193,0,1042.178364,5.000000
23,60,60.336136,93648,0.167117636,0.171500000,4.382364,1,60.336136,5.000000
24,60,61.244163,93648,0.174042660,0.180000000,5.957340,0,1042.178364,5.000000
25,60,62.464332,93648,0.179022815,0.184500000,5.477185,0,1042.178364,5.000000
26,60,58.895149,93648,0.185453496,0.189500000,4.046504,1,58.895149,5.000000
27,60,60.250364,93648,0.190653326,0.197500000,6.846674,0,1042.178364,5.000000
28,60,60.236893,93648,0.196151861,0.200500000,4.348139,1,60.236893,5.000000
29,60,64.735539,93648,0.201118860,0.209500000,8.381140,0,1042.178364,5.000000
30,60,62.269311,93648,0.205666013,0.214000000,8.333987,0,1042.178364,5.000000
31,60,62.976699,93648,0.213337343,0.219500000,6.162657,0,1042.178364,5.000000
32,60,60.945608,93648,0.218606103,0.226000000,7.393897,0,1042.178364,5.000000
33,60,63.914699,93648,0.223720186,0.229000000,5.279814,0,1042.178364,5.000000
34,60,58.405476,93648,0.228699249,0.234500000,5.800751,0,1042.178364,5.000000
35,60,60.916854,93648,0.234175233,0.240000000,5.824767,0,1042.178364,5.000000
36,60,61.242451,93648,0.240564385,0.245000000,4.435615,1,61.242451,5.000000
37,60,64.848345,93648,0.245512387,0.253000000,7.487613,0,1042.178364,5.000000
38,60,63.324187,93648,0.249997268,0.256500000,6.502732,0,1042.178364,5.000000
39,60,64.256374,93648,0.256755435,0.262000000,5.244565,0,1042.178364,5.000000
40,60,61.773935,93648,0.265011654,0.270000000,4.988346,1,61.773935,5.000000
41,60,64.109197,93648,0.270392696,0.274500000,4.107304,1,64.109197,5.000000
42,60,61.197791,93648,0.275700070,0.282500000,6.799930,0,1042.178364,5.000000
43,60,62.741734,93648,0.280103259,0.285000000,4.896741,1,62.741734,5.000000
44,60,63.171674,93648,0.285280456,0.289500000,4.219544,1,63.171674,5.000000
45,60,63.608233,93648,0.292265845,0.300000000,7.734155,0,1042.178364,5.000000
46,60,60.249643,93648,0.296741422,0.303000000,6.258578,0,1042.178364,5.000000
47,60,62.276596,93648,0.304357198,0.319000000,14.642802,0,1042.178364,5.000000
48,60,60.588480,93648,0.308832840,0.325500000,16.667160,0,1042.178364,5.000000
49,60,63.548569,93648,0.317217077,0.329500000,12.282923,0,1042.178364,5.000000
50,60,63.409176,93648,0.321787056,0.331500000,9.712944,0,1042.178364,5.000000
51,60,65.461317,93648,0.330003761,0.338000000,7.996239,0,1042.178364,5.000000
