frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms
1,75,20.7322,215754,0.013548789,0.018500000,4.951211,1,20.732245,5.000000
2,75,20.021814,215754,0.020792386,0.026500000,5.707614,0,564.513281,5.000000
3,75,19.976702,215754,0.025146685,0.032000000,6.853315,0,564.513281,5.000000
4,75,19.472916,215754,0.031177074,0.038500000,7.322926,0,564.513281,5.000000
5,75,20.025323,215754,0.035608771,0.044500000,8.891229,0,564.513281,5.000000
6,75,18.839760,215754,0.041790289,0.050000000,8.209711,0,564.513281,5.000000
7,75,18.740657,215754,0.047539163,0.055000000,7.460837,0,564.513281,5.000000
8,75,18.204153,215754,0.052397596,0.059000000,6.602404,0,564.513281,5.000000
9,75,18.307686,215754,0.059286028,0.065000000,5.713972,0,564.513281,5.000000
10,75,17.623597,215754,0.064639958,0.071500000,6.860042,0,564.513281,5.000000
11,75,18.101935,215754,0.069209093,0.078000000,8.790907,0,564.513281,5.000000
12,75,17.926975,215754,0.075252245,0.086000000,10.747755,0,564.513281,5.000000
13,75,18.877277,215754,0.081033440,0.093500000,12.466560,0,564.513281,5.000000
14,75,17.883843,215754,0.088071673,0.100500000,12.428327,0,564.513281,5.000000
15,75,18.533244,215754,0.094428982,0.114000000,19.571018,0,564.513281,5.000000
16,75,17.854525,215754,0.099166701,0.121500000,22.333299,0,564.513281,5.000000
17,75,18.896177,215754,0.104636715,0.126000000,21.363285,0,564.513281,5.000000
18,75,18.200617,215754,0.109768940,0.130500000,20.731060,0,564.513281,5.000000
19,75,19.167831,215754,0.115194355,0.137500000,22.305645,0,564.513281,5.000000
20,75,19.037432,215754,0.120160688,0.142500000,22.339312,0,564.513281,5.000000
21,75,20.265112,215754,0.124869464,0.146500000,21.630536,0,564.513281,5.000000
22,75,18.986912,215754,0.129817832,0.154500000,24.682168,0,564.513281,5.000000
23,75,20.211849,215754,0.134987322,0.158000000,23.012678,0,564.513281,5.000000
24,75,20.475047,215754,0.142920834,0.165500000,22.579166,0,564.513281,5.000000
25,75,20.955786,215754,0.148623702,0.171000000,22.376298,0,564.513281,5.000000
26,75,19.566911,215754,0.154161757,0.174000000,19.838243,0,564.513281,5.000000
27,75,20.124926,215754,0.158837281,0.182000000,23.162719,0,564.513281,5.000000
28,75,20.042124,215754,0.165782976,0.186000000,20.217024,0,564.513281,5.000000
29,75,22.018059,215754,0.171282911,0.191500000,20.217089,0,564.513281,5.000000
30,75,20.586732,215754,0.176701176,0.200000000,23.298824,0,564.513281,5.000000
31,75,20.765371,215754,0.181403707,0.207500000,26.096293,0,564.513281,5.000000
32,75,20.350147,215754,0.187703490,0.217000000,29.296510,0,564.513281,5.000000
33,75,21.602396,215754,0.192099021,0.226500000,34.400979,0,564.513281,5.000000
34,75,19.475179,215754,0.198810590,0.231000000,32.189410,0,564.513281,5.000000
35,75,20.151517,215754,0.205026727,0.243000000,37.973273,0,564.513281,5.000000
36,75,20.447419,215754,0.209993433,0.244500000,34.506567,0,564.513281,5.000000
37,75,21.711742,215754,0.219053562,0.248500000,29.446438,0,564.513281,5.000000
38,75,21.356834,215754,0.225359974,0.260000000,34.640026,0,564.513281,5.000000
39,75,21.735106,215754,0.230546604,0.264500000,33.953396,0,564.513281,5.000000
40,75,20.849438,215754,0.237136687,0.271500000,34.363313,0,564.513281,5.000000
41,75,21.614532,215754,0.241623892,0.276000000,34.376108,0,564.513281,5.000000
42,75,20.602139,215754,0.246031754,0.283500000,37.468246,0,564.513281,5.000000
43,75,21.148487,215754,0.251918483,0.288000000,36.081517,0,564.513281,5.000000
44,75,21.281190,215754,0.261413120,0.295000000,33.586880,0,564.513281,5.000000
47,75,21.191083,215754,0.281631080,0.326000000,44.368920,0,564.513281,5.000000
48,75,20.496846,215754,0.288419402,0.331000000,42.580598,0,564.513281,5.000000
49,75,21.741522,215754,0.292872031,0.341000000,48.127969,0,564.513281,5.000000
50,75,21.626699,215754,0.297790249,0.352000000,54.209751,0,564.513281,5.000000
51,75,22.284722,215754,0.302145175,0.358000000,55.854825,0,564.513281,5.000000
52,75,23.309777,215754,0.308065962,0.367500000,59.434038,0,564.513281,5.000000
53,75,22.516431,215754,0.314842877,0.375500000,60.657123,0,564.513281,5.000000
54,75,23.020504,215754,0.319576718,0.383500000,63.923282,0,564.513281,5.000000
55,75,22.798468,215754,0.326171530,0.392500000,66.328470,0,564.513281,5.000000
56,75,23.778786,215754,0.336731834,0.400500000,63.768166,0,564.513281,5.000000
59,75,24.069159,215754,0.352341527,0.451500000,99.158473,0,564.513281,5.000000
61,75,23.181921,215754,0.365805240,0.464000000,98.194760,0,564.513281,5.000000
62,75,22.944152,215754,0.370498565,0.478000000,107.501435,0,564.513281,5.000000
100,75,20.304066,215754,0.585850597,0.660000000,74.149403,0,564.513281,5.000000
106,75,18.747756,215754,0.625020202,0.690000000,64.979798,0,564.513281,5.000000
108,75,19.845530,215754,0.637400650,0.714500000,77.099350,0,564.513281,5.000000
109,75,18.927039,215754,0.644426233,0.715000000,70.573767,0,564.513281,5.000000
110,75,19.549830,215754,0.650396051,0.722500000,72.103949,0,564.513281,5.000000
111,75,18.689511,215754,0.659747812,0.731000000,71.252188,0,564.513281,5.000000
112,75,19.084329,215754,0.664996623,0.740000000,75.003377,0,564.513281,5.000000
113,75,18.366262,215754,0.671696474,0.745500000,73.803526,0,564.513281,5.000000
114,75,18.587222,215754,0.680749749,0.749500000,68.750251,0,564.513281,5.000000
115,75,18.337378,215754,0.686065124,0.757500000,71.434876,0,564.513281,5.000000
116,75,19.347563,215754,0.691196488,0.760500000,69.303512,0,564.513281,5.000000
117,75,18.641655,215754,0.697630113,0.767000000,69.369887,0,564.513281,5.000000
118,75,18.765908,215754,0.702183076,0.775000000,72.816924,0,564.513281,5.000000
128,75,18.397225,215754,0.762040876,0.833000000,70.959124,0,564.513281,5.000000
130,75,18.306542,215754,0.773794951,0.845500000,71.705049,0,564.513281,5.000000
135,75,17.833832,215754,0.804077617,0.876500000,72.422383,0,564.513281,5.000000
136,75,17.294063,215754,0.809903330,0.884500000,74.596670,0,564.513281,5.000000
139,75,17.464133,215754,0.830669947,0.899000000,68.330053,0,564.513281,5.000000
142,75,17.171521,215754,0.850998989,0.924500000,73.501011,0,564.513281,5.000000
144,75,16.475938,215754,0.861821645,0.935000000,73.178355,0,564.513281,5.000000
149,75,16.913484,215754,0.891684475,0.958000000,66.315525,0,564.513281,5.000000
150,75,16.027225,215754,0.899796261,0.965000000,65.203739,0,564.513281,5.000000
154,75,16.043723,215754,0.922563058,0.982000000,59.436942,0,564.513281,5.000000
155,75,16.454171,215754,0.929152663,0.987000000,57.847337,0,564.513281,5.000000
156,75,16.663479,215754,0.936611925,0.993000000,56.388075,0,564.513281,5.000000
157,75,17.680501,215754,0.944353392,1.000500000,56.146608,0,564.513281,5.000000
158,75,18.056887,215754,0.951054334,1.010000000,58.945666,0,564.513281,5.000000
159,75,18.825769,215754,0.956235138,1.016500000,60.264862,0,564.513281,5.000000
160,75,18.394757,215754,0.960676037,1.023500000,62.823963,0,564.513281,5.000000
161,75,17.867355,215754,0.965069665,1.029500000,64.430335,0,564.513281,5.000000
162,75,17.273065,215754,0.974884200,1.033500000,58.615800,0,564.513281,5.000000
163,75,17.346608,215754,0.981636667,1.041500000,59.863333,0,564.513281,5.000000
164,75,17.212018,215754,0.989625431,1.046000000,56.374569,0,564.513281,5.000000
165,75,17.658478,215754,0.994954272,1.052500000,57.545728,0,564.513281,5.000000
166,75,17.208066,215754,1.001134011,1.057500000,56.365989,0,564.513281,5.000000
167,75,17.661315,215754,1.006285015,1.060500000,54.214985,0,564.513281,5.000000
168,75,17.732483,215754,1.012036923,1.067000000,54.963077,0,564.513281,5.000000
169,75,17.970744,215754,1.017479383,1.072500000,55.020617,0,564.513281,5.000000
171,75,18.190983,215754,1.029672448,1.081500000,51.827552,0,564.513281,5.000000
172,75,17.526215,215754,1.037678206,1.087500000,49.821794,0,564.513281,5.000000
173,75,18.021459,215754,1.043149250,1.091500000,48.350750,0,564.513281,5.000000
174,75,17.566432,215754,1.048199208,1.099500000,51.300792,0,564.513281,5.000000
175,75,17.021463,215754,1.053137095,1.108000000,54.862905,0,564.513281,5.000000
177,75,17.484130,215754,1.062619957,1.130500000,67.880043,0,564.513281,5.000000
178,75,17.114223,215754,1.068346232,1.139500000,71.153768,0,564.513281,5.000000
179,75,17.112835,215754,1.073794002,1.145500000,71.705998,0,564.513281,5.000000
180,75,17.967614,215754,1.080178058,1.156500000,76.321942,0,564.513281,5.000000
181,75,18.533841,215754,1.085863924,1.164000000,78.136076,0,564.513281,5.000000
182,75,18.579908,215754,1.092147437,1.171000000,78.852563,0,564.513281,5.000000
183,75,19.020211,215754,1.100031059,1.182500000,82.468941,0,564.513281,5.000000
184,75,18.650388,215754,1.106851340,1.190500000,83.648660,0,564.513281,5.000000
185,75,18.415525,215754,1.112688549,1.200000000,87.311451,0,564.513281,5.000000
186,75,18.620419,215754,1.117893860,1.211500000,93.606140,0,564.513281,5.000000
193,75,17.985236,215754,1.162645648,1.239000000,76.354352,0,564.513281,5.000000
195,75,18.066553,215754,1.178521536,1.249000000,70.478464,0,564.513281,5.000000
196,75,17.651838,215754,1.183741853,1.254500000,70.758147,0,564.513281,5.000000
202,75,19.641029,215754,1.219261081,1.272000000,52.738919,0,564.513281,5.000000
206,75,19.902431,215754,1.240183664,1.292500000,52.316336,0,564.513281,5.000000
207,75,20.269625,215754,1.246464561,1.297000000,50.535439,0,564.513281,5.000000
208,75,19.630361,215754,1.251576807,1.304500000,52.923193,0,564.513281,5.000000
210,75,20.133693,215754,1.262685602,1.329000000,66.314398,0,564.513281,5.000000
211,75,19.796603,215754,1.269136062,1.330000000,60.863938,0,564.513281,5.000000
212,75,19.775680,215754,1.277682288,1.336500000,58.817712,0,564.513281,5.000000
213,75,20.885391,215754,1.282402842,1.342500000,60.097158,0,564.513281,5.000000
215,75,21.210069,215754,1.295331756,1.357000000,61.668244,0,564.513281,5.000000
219,75,22.461011,215754,1.320140486,1.383500000,63.359514,0,564.513281,5.000000
220,75,22.839816,215754,1.326182692,1.387500000,61.317308,0,564.513281,5.000000
224,75,23.669682,215754,1.351614155,1.425000000,73.385845,0,564.513281,5.000000
225,75,24.672693,215754,1.360281202,1.427500000,67.218798,0,564.513281,5.000000
226,75,24.916828,215754,1.367968281,1.432500000,64.531719,0,564.513281,5.000000
227,75,25.697477,215754,1.374255581,1.438000000,63.744419,0,564.513281,5.000000
228,75,25.719049,215754,1.379394848,1.442500000,63.105152,0,564.513281,5.000000
229,75,25.365867,215754,1.387077704,1.447500000,60.422296,0,564.513281,5.000000
230,75,25.119452,215754,1.392401533,1.450500000,58.098467,0,564.513281,5.000000
231,75,25.316492,215754,1.397410645,1.457500000,60.089355,0,564.513281,5.000000
232,75,24.348698,215754,1.405645909,1.461000000,55.354091,0,564.513281,5.000000
233,75,24.135532,215754,1.414361131,1.466500000,52.138869,0,564.513281,5.000000
236,75,25.258319,215754,1.431365720,1.481500000,50.134280,0,564.513281,5.000000
237,75,24.872787,215754,1.441376902,1.489000000,47.623098,0,564.513281,5.000000
238,75,25.734686,215754,1.446193777,1.493000000,46.806223,0,564.513281,5.000000
239,75,25.526177,215754,1.450769993,1.500500000,49.730007,0,564.513281,5.000000
292,75,22.771415,215754,1.759451132,1.828000000,68.548868,0,564.513281,5.000000
295,75,22.464965,215754,1.775778395,1.840500000,64.721605,0,564.513281,5.000000
297,75,23.333982,215754,1.785627229,1.850500000,64.872771,0,564.513281,5.000000
300,75,23.541160,215754,1.800685592,1.862000000,61.314408,0,564.513281,5.000000
305,75,24.128802,215754,1.828156971,1.879500000,51.343029,0,564.513281,5.000000
306,75,23.331057,215754,1.833259740,1.885500000,52.240260,0,564.513281,5.000000
307,75,23.408789,215754,1.839292710,1.888500000,49.207290,0,564.513281,5.000000
308,75,22.806142,215754,1.846667898,1.896500000,49.832102,0,564.513281,5.000000
309,75,22.941203,215754,1.852717044,1.900000000,47.282956,0,564.513281,5.000000
311,75,21.970809,215754,1.862150405,1.928000000,65.849595,0,564.513281,5.000000
312,75,22.305733,215754,1.867335636,1.928000000,60.664364,0,564.513281,5.000000
313,75,22.610326,215754,1.872072396,1.932000000,59.927604,0,564.513281,5.000000
314,75,21.806439,215754,1.878708519,1.937000000,58.291481,0,564.513281,5.000000
315,75,21.451511,215754,1.886697997,1.942000000,55.302003,0,564.513281,5.000000
316,75,21.235482,215754,1.894111756,1.948000000,53.888244,0,564.513281,5.000000
317,75,21.744674,215754,1.900520872,1.954500000,53.979128,0,564.513281,5.000000
318,75,20.916333,215754,1.905635414,1.959500000,53.864586,0,564.513281,5.000000
319,75,21.385514,215754,1.911203721,1.965000000,53.796279,0,564.513281,5.000000
320,75,20.733952,215754,1.916773548,1.971000000,54.226452,0,564.513281,5.000000
321,75,20.140044,215754,1.923857341,1.977000000,53.142659,0,564.513281,5.000000
323,75,21.203797,215754,1.934580051,1.992000000,57.419949,0,564.513281,5.000000
326,75,20.769696,215754,1.954837037,2.015500000,60.662963,0,564.513281,5.000000
336,75,23.035484,215754,2.013178240,2.071500000,58.321760,0,564.513281,5.000000
339,75,21.848095,215754,2.028519920,2.087500000,58.980080,0,564.513281,5.000000
341,75,22.366008,215754,2.038957268,2.097500000,58.542732,0,564.513281,5.000000
345,75,21.369599,215754,2.066634758,2.127500000,60.865242,0,564.513281,5.000000
347,75,20.780028,215754,2.076524568,2.139500000,62.975432,0,564.513281,5.000000
349,75,20.370978,215754,2.091191194,2.153500000,62.308806,0,564.513281,5.000000
351,75,20.247562,215754,2.101963451,2.169000000,67.036549,0,564.513281,5.000000
353,75,19.919672,215754,2.113934937,2.185000000,71.065063,0,564.513281,5.000000
354,75,21.556935,215754,2.119786991,2.185000000,65.213009,0,564.513281,5.000000
358,75,21.647299,215754,2.144048873,2.219500000,75.451127,0,564.513281,5.000000
359,75,20.780499,215754,2.149268195,2.223000000,73.731805,0,564.513281,5.000000
360,75,20.929831,215754,2.154096713,2.230500000,76.403287,0,564.513281,5.000000
363,75,22.118009,215754,2.172220463,2.249500000,77.279537,0,564.513281,5.000000
372,75,21.858700,215754,2.229383484,2.280000000,50.616516,0,564.513281,5.000000
373,75,22.216190,215754,2.235914774,2.285500000,49.585226,0,564.513281,5.000000
374,75,21.328155,215754,2.241251476,2.291500000,50.248524,0,564.513281,5.000000
379,75,21.092790,215754,2.273888357,2.331500000,57.611643,0,564.513281,5.000000
387,75,18.186677,215754,2.322036033,2.376000000,53.963967,0,564.513281,5.000000
390,75,19.180692,215754,2.338887930,2.389000000,50.112070,0,564.513281,5.000000
414,75,18.570911,215754,2.488920777,2.527000000,38.079223,0,564.513281,5.000000
415,75,18.877844,215754,2.493304241,2.528000000,34.695759,0,564.513281,5.000000
416,75,17.677098,215754,2.500158312,2.535000000,34.841688,0,564.513281,5.000000
417,75,18.354982,215754,2.505869204,2.540000000,34.130796,0,564.513281,5.000000
419,75,17.703407,215754,2.515801143,2.555500000,39.698857,0,564.513281,5.000000
422,75,18.242943,215754,2.532051052,2.569000000,36.948948,0,564.513281,5.000000
424,75,18.289647,215754,2.541778267,2.583500000,41.721733,0,564.513281,5.000000
425,75,18.459779,215754,2.547673696,2.583500000,35.826304,0,564.513281,5.000000
