user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms
0,billiards,model,adaptive,72.50300419999999,0.974,3.343199857
1,billiards,model,adaptive,551.7249849929791,0.5025075225677031,19.424116318956873
0,billiards,static,5,827.7751775209999,0.999,2.272682826
1,billiards,static,5,863.2202905900001,0.81,2.9325524450000002
0,billiards,static,10,512.107333152,0.997,2.28110076
1,billiards,static,10,629.859861755,0.774,3.6615524450000003
0,billiards,static,15,367.088165314,0.996,2.299738037
1,billiards,static,15,566.1304437690001,0.703,6.4151869779999995
0,billiards,static,20,282.335359814,0.994,2.3063867780000002
1,billiards,static,20,508.80443665000007,0.7,7.1654741920000005
0,billiards,static,25,221.184863595,0.998,2.7705075069999996
1,billiards,static,25,518.0441122110001,0.639,13.396661419
0,billiards,static,30,177.432182754,1.0,2.7755604080000005
1,billiards,static,30,499.18425032500005,0.631,12.101538254
0,billiards,static,35,148.43361469700002,0.997,2.802751552
1,billiards,static,35,514.7633151910002,0.592,11.446057838
0,billiards,static,40,126.71257520500001,0.994,2.816144266
1,billiards,static,40,431.4256906,0.665989847715736,7.705062811167513
0,billiards,static,45,103.58445522900001,0.998,2.820482884
1,billiards,static,45,484.93483928615393,0.5958974358974359,8.722828132307692
0,billiards,static,50,91.789333125,0.994,2.842431976
1,billiards,static,50,519.16809473583,0.5506072874493927,10.627405
0,billiards,static,55,78.98368948999999,0.994,3.2961904910000004
1,billiards,static,55,527.7977534842768,0.5345911949685535,9.530843843815513
0,billiards,static,60,82.13045141,0.98,3.3284730200000006
1,billiards,static,60,522.7464459149378,0.5342323651452282,9.305689816390041
0,billiards,static,65,81.38398979,0.972,3.347591976
1,billiards,static,65,566.0923687202074,0.48601036269430054,7.965848113989637
0,billiards,static,70,87.14408143200001,0.959,3.3648256730000004
1,billiards,static,70,542.9930688663159,0.5052631578947369,9.010332482105264
0,billiards,static,75,87.14049262,0.953,3.38206747
1,billiards,static,75,634.9542443173591,0.4110756123535676,7.736224359957401
0,billiards,static,80,113.414428985,0.922,3.803044774
1,billiards,static,80,595.8829155075433,0.44719827586206895,7.795834015086207
