frame,components,mse,size_bytes,error_at_k80,error_ratio
1,5,1006.0598075877992,8540,40.60609995368623,24.776075730869813
1,10,611.0995692235773,16304,40.60609995368623,24.776075730869813
1,15,437.6061484326824,24067,40.60609995368623,24.776075730869813
1,20,335.9253655518167,31832,40.60609995368623,24.776075730869813
1,25,268.04839948873695,39596,40.60609995368623,24.776075730869813
1,30,217.0165993180048,47360,40.60609995368623,24.776075730869813
1,35,178.4483187109004,55124,40.60609995368623,24.776075730869813
1,40,147.7910861128004,62888,40.60609995368623,24.776075730869813
1,45,122.9943885714873,70652,40.60609995368623,24.776075730869813
1,50,103.15893810225508,78416,40.60609995368623,24.776075730869813
1,55,87.27688099001364,86180,40.60609995368623,24.776075730869813
1,60,74.14176311907018,93944,40.60609995368623,24.776075730869813
1,65,63.27529376169418,101708,40.60609995368623,24.776075730869813
1,70,54.39911124430341,109472,40.60609995368623,24.776075730869813
1,75,46.959899559588735,117236,40.60609995368623,24.776075730869813
1,80,40.60609995368623,125000,40.60609995368623,24.776075730869813
2,5,1009.1547880840698,8540,40.680711552851,24.806714277182937
2,10,616.5496384649954,16304,40.680711552851,24.806714277182937
2,15,440.2666065408434,24067,40.680711552851,24.806714277182937
2,20,341.73025620457514,31832,40.680711552851,24.806714277182937
2,25,270.93701038720627,39596,40.680711552851,24.806714277182937
2,30,219.1420117639449,47360,40.680711552851,24.806714277182937
2,35,179.87491683488165,55124,40.680711552851,24.806714277182937
2,40,148.6752899951126,62888,40.680711552851,24.806714277182937
2,45,123.95006535064124,70652,40.680711552851,24.806714277182937
2,50,104.06149110008649,78416,40.680711552851,24.806714277182937
2,55,88.090411570932,86180,40.680711552851,24.806714277182937
2,60,74.83197906742588,93944,40.680711552851,24.806714277182937
2,65,63.8946983837447,101708,40.680711552851,24.806714277182937
2,70,54.728725439379865,109472,40.680711552851,24.806714277182937
2,75,47.07098924228249,117236,40.680711552851,24.806714277182937
2,80,40.680711552851,125000,40.680711552851,24.806714277182937
3,5,1010.36603193389,8540,40.54886051460761,24.91724845313245
3,10,622.2514258803919,16304,40.54886051460761,24.91724845313245
3,15,441.748863687102,24067,40.54886051460761,24.91724845313245
3,20,340.0259833580645,31832,40.54886051460761,24.91724845313245
3,25,270.8511663894008,39596,40.54886051460761,24.91724845313245
3,30,220.70078412921143,47360,40.54886051460761,24.91724845313245
3,35,181.0030360848417,55124,40.54886051460761,24.91724845313245
3,40,150.03634318933885,62888,40.54886051460761,24.91724845313245
3,45,125.32441672925644,70652,40.54886051460761,24.91724845313245
3,50,104.84582563149598,78416,40.54886051460761,24.91724845313245
3,55,88.50539132096685,86180,40.54886051460761,24.91724845313245
3,60,75.11428406094088,93944,40.54886051460761,24.91724845313245
3,65,63.840848810907,101708,40.54886051460761,24.91724845313245
3,70,54.559249613418864,109472,40.54886051460761,24.91724845313245
3,75,47.060195379889656,117236,40.54886051460761,24.91724845313245
3,80,40.54886051460761,125000,40.54886051460761,24.91724845313245
4,5,984.4166149722467,8540,39.95332606379555,24.639165545326005
4,10,609.4591886535517,16304,39.95332606379555,24.639165545326005
4,15,435.7858625957157,24067,39.95332606379555,24.639165545326005
4,20,333.5903470920677,31832,39.95332606379555,24.639165545326005
4,25,264.7032650477516,39596,39.95332606379555,24.639165545326005
4,30,215.392593440016,47360,39.95332606379555,24.639165545326005
4,35,177.42066986069736,55124,39.95332606379555,24.639165545326005
4,40,147.01764481608788,62888,39.95332606379555,24.639165545326005
4,45,122.32509809796746,70652,39.95332606379555,24.639165545326005
4,50,102.6828918870835,78416,39.95332606379555,24.639165545326005
4,55,86.83705438966528,86180,39.95332606379555,24.639165545326005
4,60,73.5868456641255,93944,39.95332606379555,24.639165545326005
4,65,62.58699469808035,101708,39.95332606379555,24.639165545326005
4,70,53.65923814759467,109472,39.95332606379555,24.639165545326005
4,75,46.23160116560389,117236,39.95332606379555,24.639165545326005
4,80,39.95332606379555,125000,39.95332606379555,24.639165545326005
5,5,983.6419553642422,8540,41.64523222730764,23.61955745606932
5,10,614.9966580420046,16304,41.64523222730764,23.61955745606932
5,15,439.47995670999234,24067,41.64523222730764,23.61955745606932
5,20,334.90652987248103,31832,41.64523222730764,23.61955745606932
5,25,264.83373973994753,39596,41.64523222730764,23.61955745606932
5,30,215.62260689992087,47360,41.64523222730764,23.61955745606932
5,35,177.4928563152956,55124,41.64523222730764,23.61955745606932
5,40,147.19413330675997,62888,41.64523222730764,23.61955745606932
5,45,123.53078721868518,70652,41.64523222730764,23.61955745606932
5,50,104.17604444376438,78416,41.64523222730764,23.61955745606932
5,55,88.48129791485512,86180,41.64523222730764,23.61955745606932
5,60,75.86843957493664,93944,41.64523222730764,23.61955745606932
5,65,65.0909792209801,101708,41.64523222730764,23.61955745606932
5,70,55.94255805836129,109472,41.64523222730764,23.61955745606932
5,75,48.1203525300438,117236,41.64523222730764,23.61955745606932
5,80,41.64523222730764,125000,41.64523222730764,23.61955745606932
6,5,966.6589670368104,8540,40.26438850302731,24.007789587171587
6,10,602.9770674574839,16304,40.26438850302731,24.007789587171587
6,15,429.7589124248871,24067,40.26438850302731,24.007789587171587
6,20,328.6896746975109,31832,40.26438850302731,24.007789587171587
6,25,259.8986948176019,39596,40.26438850302731,24.007789587171587
6,30,210.95983574336665,47360,40.26438850302731,24.007789587171587
6,35,173.03665765718856,55124,40.26438850302731,24.007789587171587
6,40,142.72405250826395,62888,40.26438850302731,24.007789587171587
6,45,119.404323391724,70652,40.26438850302731,24.007789587171587
6,50,100.8093826682108,78416,40.26438850302731,24.007789587171587
6,55,85.50849811723428,86180,40.26438850302731,24.007789587171587
6,60,72.92579395974492,93944,40.26438850302731,24.007789587171587
6,65,62.57939133805792,101708,40.26438850302731,24.007789587171587
6,70,53.78090856709547,109472,40.26438850302731,24.007789587171587
6,75,46.43861471771303,117236,40.26438850302731,24.007789587171587
6,80,40.26438850302731,125000,40.26438850302731,24.007789587171587
7,5,958.0352319343872,8540,41.31852053527586,23.18658121160124
7,10,594.9923802415647,16304,41.31852053527586,23.18658121160124
7,15,423.4518590962068,24067,41.31852053527586,23.18658121160124
7,20,326.4750484561605,31832,41.31852053527586,23.18658121160124
7,25,258.7997269006596,39596,41.31852053527586,23.18658121160124
7,30,211.22443865293224,47360,41.31852053527586,23.18658121160124
7,35,173.5073033084303,55124,41.31852053527586,23.18658121160124
7,40,143.66595734956732,62888,41.31852053527586,23.18658121160124
7,45,120.41485170559798,70652,41.31852053527586,23.18658121160124
7,50,101.80031282098427,78416,41.31852053527586,23.18658121160124
7,55,86.92697162714053,86180,41.31852053527586,23.18658121160124
7,60,74.59895590803708,93944,41.31852053527586,23.18658121160124
7,65,64.09314760757185,101708,41.31852053527586,23.18658121160124
7,70,55.15509431216263,109472,41.31852053527586,23.18658121160124
7,75,47.57614461629918,117236,41.31852053527586,23.18658121160124
7,80,41.31852053527586,125000,41.31852053527586,23.18658121160124
8,5,943.3420088186082,8540,39.22620668546362,24.04876964991341
8,10,593.2990553663407,16304,39.22620668546362,24.04876964991341
8,15,422.5816992224457,24067,39.22620668546362,24.04876964991341
8,20,321.9368695606626,31832,39.22620668546362,24.04876964991341
8,25,255.4585290680293,39596,39.22620668546362,24.04876964991341
8,30,206.776247364708,47360,39.22620668546362,24.04876964991341
8,35,169.54307247106348,55124,39.22620668546362,24.04876964991341
8,40,140.22666361898973,62888,39.22620668546362,24.04876964991341
8,45,116.87673298448108,70652,39.22620668546362,24.04876964991341
8,50,98.39132601454598,78416,39.22620668546362,24.04876964991341
8,55,83.35833398235823,86180,39.22620668546362,24.04876964991341
8,60,71.21601945234373,93944,39.22620668546362,24.04876964991341
8,65,60.850658453442975,101708,39.22620668546362,24.04876964991341
8,70,52.23557158050296,109472,39.22620668546362,24.04876964991341
8,75,45.2108590939031,117236,39.22620668546362,24.04876964991341
8,80,39.22620668546362,125000,39.22620668546362,24.04876964991341
9,5,969.5070423870114,8540,41.17482186173525,23.546113827586403
9,10,615.666150984218,16304,41.17482186173525,23.546113827586403
9,15,432.9743890005553,24067,41.17482186173525,23.546113827586403
9,20,328.62496854778806,31832,41.17482186173525,23.546113827586403
9,25,259.61734083074407,39596,41.17482186173525,23.546113827586403
9,30,210.80602934538192,47360,41.17482186173525,23.546113827586403
9,35,173.60126517778187,55124,41.17482186173525,23.546113827586403
9,40,144.20621220389614,62888,41.17482186173525,23.546113827586403
9,45,121.0244747615075,70652,41.17482186173525,23.546113827586403
9,50,102.42145387223626,78416,41.17482186173525,23.546113827586403
9,55,87.27530805429147,86180,41.17482186173525,23.546113827586403
9,60,74.83931707403504,93944,41.17482186173525,23.546113827586403
9,65,64.22441397216197,101708,41.17482186173525,23.546113827586403
9,70,55.24445094982706,109472,41.17482186173525,23.546113827586403
9,75,47.60540683280407,117236,41.17482186173525,23.546113827586403
9,80,41.17482186173525,125000,41.17482186173525,23.546113827586403
10,5,965.229950831766,8540,40.81090311655277,23.651276426673142
10,10,614.3055069688934,16304,40.81090311655277,23.651276426673142
10,15,433.5260960672904,24067,40.81090311655277,23.651276426673142
10,20,325.9157337542992,31832,40.81090311655277,23.651276426673142
10,25,259.17550391715343,39596,40.81090311655277,23.651276426673142
10,30,210.41399029464665,47360,40.81090311655277,23.651276426673142
10,35,173.69015678721425,55124,40.81090311655277,23.651276426673142
10,40,144.80609237173977,62888,40.81090311655277,23.651276426673142
10,45,121.0817508304789,70652,40.81090311655277,23.651276426673142
10,50,102.01537062996316,78416,40.81090311655277,23.651276426673142
10,55,86.53766105359448,86180,40.81090311655277,23.651276426673142
10,60,73.68622594214129,93944,40.81090311655277,23.651276426673142
10,65,63.00633159531762,101708,40.81090311655277,23.651276426673142
10,70,54.31938470952901,109472,40.81090311655277,23.651276426673142
10,75,47.04871664103308,117236,40.81090311655277,23.651276426673142
10,80,40.81090311655277,125000,40.81090311655277,23.651276426673142
11,5,978.5366279219282,8540,41.99025759443699,23.303896760365863
11,10,620.1705948336905,16304,41.99025759443699,23.303896760365863
11,15,439.5596291104316,24067,41.99025759443699,23.303896760365863
11,20,333.73280545442657,31832,41.99025759443699,23.303896760365863
11,25,267.29575684317,39596,41.99025759443699,23.303896760365863
11,30,217.2042584480605,47360,41.99025759443699,23.303896760365863
11,35,178.7212952090606,55124,41.99025759443699,23.303896760365863
11,40,148.37009783944646,62888,41.99025759443699,23.303896760365863
11,45,124.17706498000682,70652,41.99025759443699,23.303896760365863
11,50,105.0659843425422,78416,41.99025759443699,23.303896760365863
11,55,89.25512276307064,86180,41.99025759443699,23.303896760365863
11,60,76.34146746774219,93944,41.99025759443699,23.303896760365863
11,65,65.48665441549336,101708,41.99025759443699,23.303896760365863
11,70,56.19220500321129,109472,41.99025759443699,23.303896760365863
11,75,48.43253698276741,117236,41.99025759443699,23.303896760365863
11,80,41.99025759443699,125000,41.99025759443699,23.303896760365863
12,5,988.7427140594486,8540,40.88099004101653,24.18587986904005
12,10,622.0273352334726,16304,40.88099004101653,24.18587986904005
12,15,446.53770992197,24067,40.88099004101653,24.18587986904005
12,20,336.6851626496961,31832,40.88099004101653,24.18587986904005
12,25,265.84882819604246,39596,40.88099004101653,24.18587986904005
12,30,214.97991162911367,47360,40.88099004101653,24.18587986904005
12,35,175.36047137109134,55124,40.88099004101653,24.18587986904005
12,40,144.9966504597596,62888,40.88099004101653,24.18587986904005
12,45,121.26645024793034,70652,40.88099004101653,24.18587986904005
12,50,102.1953777980378,78416,40.88099004101653,24.18587986904005
12,55,86.9505918374345,86180,40.88099004101653,24.18587986904005
12,60,74.45260509213435,93944,40.88099004101653,24.18587986904005
12,65,63.95514201727656,101708,40.88099004101653,24.18587986904005
12,70,55.08256873542581,109472,40.88099004101653,24.18587986904005
12,75,47.47836714931825,117236,40.88099004101653,24.18587986904005
12,80,40.88099004101653,125000,40.88099004101653,24.18587986904005
13,5,987.6529357973852,8540,41.40162883592652,23.85541254213513
13,10,621.5037687573391,16304,41.40162883592652,23.85541254213513
13,15,447.63209225784135,24067,41.40162883592652,23.85541254213513
13,20,337.1907049735605,31832,41.40162883592652,23.85541254213513
13,25,264.73882122827973,39596,41.40162883592652,23.85541254213513
13,30,215.3681492000646,47360,41.40162883592652,23.85541254213513
13,35,177.3428131084588,55124,41.40162883592652,23.85541254213513
13,40,146.822299115823,62888,41.40162883592652,23.85541254213513
13,45,122.87340551890946,70652,41.40162883592652,23.85541254213513
13,50,103.40511167717032,78416,41.40162883592652,23.85541254213513
13,55,87.88951033445231,86180,41.40162883592652,23.85541254213513
13,60,75.08720007764346,93944,41.40162883592652,23.85541254213513
13,65,64.41177008473741,101708,41.40162883592652,23.85541254213513
13,70,55.41401975693632,109472,41.40162883592652,23.85541254213513
13,75,47.84347089047939,117236,41.40162883592652,23.85541254213513
13,80,41.40162883592652,125000,41.40162883592652,23.85541254213513
14,5,965.697453214502,8540,41.1702990634463,23.456168043042265
14,10,593.9903357577881,16304,41.1702990634463,23.456168043042265
14,15,425.4974176920623,24067,41.1702990634463,23.456168043042265
14,20,326.76169515848767,31832,41.1702990634463,23.456168043042265
14,25,257.9226878097543,39596,41.1702990634463,23.456168043042265
14,30,209.81355098533345,47360,41.1702990634463,23.456168043042265
14,35,172.8956290067424,55124,41.1702990634463,23.456168043042265
14,40,143.37803178882163,62888,41.1702990634463,23.456168043042265
14,45,120.2479467178788,70652,41.1702990634463,23.456168043042265
14,50,101.5617050566926,78416,41.1702990634463,23.456168043042265
14,55,86.3235196264378,86180,41.1702990634463,23.456168043042265
14,60,73.80717280548899,93944,41.1702990634463,23.456168043042265
14,65,63.3885482012668,101708,41.1702990634463,23.456168043042265
14,70,54.65402555708715,109472,41.1702990634463,23.456168043042265
14,75,47.41585113996615,117236,41.1702990634463,23.456168043042265
14,80,41.1702990634463,125000,41.1702990634463,23.456168043042265
15,5,968.6082634778704,8540,41.57333578366767,23.298786234478538
15,10,598.136888307315,16304,41.57333578366767,23.298786234478538
15,15,427.07650988058754,24067,41.57333578366767,23.298786234478538
15,20,326.8904418299962,31832,41.57333578366767,23.298786234478538
15,25,261.123542391095,39596,41.57333578366767,23.298786234478538
15,30,212.9600151742783,47360,41.57333578366767,23.298786234478538
15,35,175.2055997530862,55124,41.57333578366767,23.298786234478538
15,40,145.00048277554276,62888,41.57333578366767,23.298786234478538
15,45,121.04065638184288,70652,41.57333578366767,23.298786234478538
15,50,102.08663922781132,78416,41.57333578366767,23.298786234478538
15,55,86.76263738631111,86180,41.57333578366767,23.298786234478538
15,60,74.24314554007861,93944,41.57333578366767,23.298786234478538
15,65,63.89585131320848,101708,41.57333578366767,23.298786234478538
15,70,55.10822384172755,109472,41.57333578366767,23.298786234478538
15,75,47.802306243451234,117236,41.57333578366767,23.298786234478538
15,80,41.57333578366767,125000,41.57333578366767,23.298786234478538
16,5,970.16066937959,8540,41.41496964052763,23.42536232189376
16,10,610.5584234498633,16304,41.41496964052763,23.42536232189376
16,15,432.1929411176704,24067,41.41496964052763,23.42536232189376
16,20,328.34740552601335,31832,41.41496964052763,23.42536232189376
16,25,260.5008250958925,39596,41.41496964052763,23.42536232189376
16,30,211.0424636071596,47360,41.41496964052763,23.42536232189376
16,35,173.21634088299,55124,41.41496964052763,23.42536232189376
16,40,144.26946524844513,62888,41.41496964052763,23.42536232189376
16,45,121.01851908211948,70652,41.41496964052763,23.42536232189376
16,50,102.4341074919859,78416,41.41496964052763,23.42536232189376
